date,title,,
2017-09-01,Facebook to share Russia-linked political adverts with investigators,,
2017-09-01,Facebook to overhaul political ads after threat of U.S. regulation,,
2017-09-01,Why Facebook's about-face on Russia ads?,,
2017-09-01,Facebook Faces Increasing Scrutiny Over Election-Related ...,,
2017-09-01,"What you need to know about Twitter, Facebook and election interference",,
2017-09-01,Facebook Can Absolutely Control Its Algorithm,,
2017-09-01,Facebook uncovers 'Russian-funded' misinformation campaign,,
2017-09-01,Facebook CEO Mark Zuckerberg rejects Trump bias claims,,
2017-09-01,Facebook Enabled Advertisers to Reach ?˜Jew Haters??,,
2017-09-01,"$100,000 in Russian-bought Facebook ads could have reached millions of voters",,
2017-09-01,Facebook Is Willing to Spend Big in Video Push,,
2017-09-01,Facebook plans to spend up to $1B on original shows in 2018,,
2017-09-01,Facebook will spend close to $1 billion on original TV in the next year,,
2017-09-01,Mark Zuckerberg apologizes ?˜for the ways my work was used to divide people??,,
2017-09-01,Facebook Watch original video tab launches to all U.S. users,,
2017-09-01,Bashing Facebook Is Not the Answer to Curbing Russian ...,,
2017-09-01,"Facebook Says Russian Accounts Bought $100,000 in Ads During the 2016 Election",,
2017-09-01,Facebook Russia ads expose big tech vulnerabilities - Business Insider,,
2017-09-01,Facebook accused of fake audience numbers,,
2017-09-01,Facebook adds human reviewers after 'Jew haters' ad scandal,,
2017-09-01,Martin Shkreli jailed after Facebook post about Hillary Clinton,,
2017-09-01,Facebook fined 1.2 million euros by Spanish data watchdog,,
2017-09-01,Facebook fined ??.2 million in Spain,,
2017-09-01,Facebook hit with ??.2m fine in Spain for breaking privacy laws,,
2017-09-01,Facebook (FB) and Google (GOOG) can't rely on algorithms to stop advertisers from targeting racists,,
2017-09-01,Facebook is testing a temporary unfollow option for your News Feed,,
2017-09-01,You can now launch the Instagram app directly from Facebook,,
2017-09-01,"Anti-Semitic and racist ad-targeting options on Facebook, Google, and other tech companies",,
2017-09-01,Facebook can unlock your account with facial recognition,,
2017-09-01,Is Facebook Building An Autonomous Car?,,
2017-09-01,Instagram test feature lets users share Stories straight to Facebook,,
2017-09-01,"Facebook Stories are failing, so Instagram is going to help save them",,
2017-09-01,News Use Across Social Media Platforms 2017 | Pew ...,,
2017-09-01,Facebook Messenger Day hits 70M daily users as the app reaches 1.3B monthlies,,
2017-09-01,Why we can?™t trust Facebook?™s story about Russian ads,,
2017-09-01,The NFL partners with Facebook to distribute game highlights and recaps on the social network,,
2017-09-01,Facebook is testing features to help you make new friends,,
2017-09-01,Russia tells Facebook to localize user data or be blocked,,
2017-09-01,L'OrÃ©al drops model Munroe Bergdorf after her Facebook rant,,
2017-09-01,Facebook is the latest tech giant to hunt for AI talent in Canada,,
2017-09-01,Should Facebook Ads Be Regulated Like TV Commercials?,,
2017-09-01,Facebook acts to protect brands with new ad placement rules,,
2017-09-01,Facebook Bars Advertisers from Altering News Headlines,,
2017-09-01,Facebook group linked to Russia organized Texas anti-immigrant rallies - Business Insider,,
2017-09-01,"Mystery of Russian Fake on Facebook Solved, by a Brazilian",,
2017-09-01,Mark Zuckerberg?™s Russia Problem Is Bigger Than Facebook,,
2017-09-01,Instagram uses 'I will rape you' post as Facebook ad in latest algorithm mishap,,
2017-09-01,ACLU on Trump protest warrants to Facebook: ?˜Disclosure??is illegal seizure,,
2017-09-01,How posting on Facebook could send you to jail,,
2017-09-01,Facebook has pulled Instant Articles off Messenger,,
2017-10-01,Russia-linked posts 'reached 126m Facebook users in US',,
2017-10-01,"Facebook pledges to double its 10,000-person safety and security staff by end of 2018",,
2017-10-01,Facebook says 126 million Americans may have seen Russia-linked political posts,,
2017-10-01,What Facebook Did to American Democracy,,
2017-10-01,Memo to Facebook: How to Tell If You?™re a Media Company,,
2017-10-01,How Facebook?™s Ad System Works,,
2017-10-01,Facebook: We want a billion people in VR,,
2017-10-01,Here are the Russia-linked Facebook ads released by Congress,,
2017-10-01,Facebook?™s shifting accounts of Russian influence in the 2016 election - Business Insider,,
2017-10-01,"How Facebook, Google and Twitter 'embeds' helped Trump in ...",,
2017-10-01,Facebook and Google help showcase Las Vegas fake news,,
2017-10-01,Perspective | When Facebook and Google are 'weaponized ...,,
2017-10-01,Facebook denies 'listening' to conversations,,
2017-10-01,"Facebook translates 'good morning' into 'attack them', leading to arrest",,
2017-10-01,Facebook's response to fake Russian ads is not going to cut it - Business Insider,,
2017-10-01,"Fake News Still Here, Despite Efforts by Google, Facebook",,
2017-10-01,'Fake news' inquiry asks Facebook to check for Russian influence in UK,,
2017-10-01,Wanted man who wanted Facebook likes turns self in,,
2017-10-01,Facebook's News Feed experiment panics publishers,,
2017-10-01,Facebook and Google are now media companies - Business Insider,,
2017-10-01,Facebook Messenger users can now send money to each other with PayPal,,
2017-10-01,Facebook Messenger users can now send/receive money through PayPal - GSMArena.com news,,
2017-10-01,Facebook Messenger Now Supports Peer-to-Peer Payments via PayPal,,
2017-10-01,Facebook and Instagram are down in parts of the US and Europe,,
2017-10-01,Facebook now lets you order food without leaving Facebook,,
2017-10-01,Facebook UK pays just Â£5.1m in corporation tax despite jump in profit,,
2017-10-01,South Park slams Facebook for selling fake news,,
2017-10-01,Facebook tries fighting fake news with publisher info button on links,,
2017-10-01,Facebook scrubs Russia data from fake accounts - Business Insider,,
2017-10-01,Facebook and 10 Publishers Are Testing Subscriptions Within Instant Articles,,
2017-10-01,Facebook is now testing paywalls and subscriptions for Instant Articles,,
2017-10-01,Facebook is testing subscriptions for Instant Articles on Android,,
2017-10-01,Facebook and Twitter could face 'online abuse levy',,
2017-10-01,"Intel announces new AI chip, with input from Facebook",,
2017-10-01,"Technology?™s dark side: Pressure mounts on Facebook, Twitter, Google",,
2017-10-01,WhatsApp and Facebook to face EU data taskforce,,
2017-10-01,European court asked to rule on Facebook data transfers,,
2017-10-01,Facebook will hire 1000 employees to control adverts amid ...,,
2017-10-01,Facebook will share Russian-bought election interference ads with Congress tomorrow,,
2017-10-01,How Facebook Plans To Improve Revenue And Engagement Levels Going Forward,,
2017-10-01,Mark Zuckerberg 'tours' flooded Puerto Rico in bizarre virtual reality promo,,
2017-10-01,Facebook tests resume feature to take on LinkedIn,,
2017-10-01,"More than 12M ""Me Too"" Facebook posts, comments, reactions in 24 hours",,
2017-10-01,Facebook and Google Helped Anti-Refugee Campaign in ...,,
2017-10-01,Dove Drops an Ad Accused of Racism,,
2017-10-01,Facebook officially rolls out its discovery-focused ?˜Explore Feed??,,
2017-10-01,Facebook Goes to Washington: DealBook Briefing,,
2017-10-01,??0 Minutes??profiles the genius who won Trump?™s campaign: Facebook,,
2017-11-01,Here are the Russia-linked Facebook ads released by Congress,,
2017-11-01,How Russian Facebook ads worked,,
2017-11-01,Facebook?™s ad revenue tops $10.1B as ad prices soar to offset supply slowdown,,
2017-11-01,Facebook to expand artificial intelligence to help prevent suicide,,
2017-11-01,Facebook is using AI to spot users with suicidal thoughts,,
2017-11-01,Facebook is using AI to scan your posts for suicidal thoughts,,
2017-11-01,Facebook?™s shifting accounts of Russian influence in the 2016 election - Business Insider,,
2017-11-01,Facebook Messenger payments comes to UK,,
2017-11-01,Facebook to tell users if they interacted with Russia's 'troll army',,
2017-11-01,Facebook to eliminate transaction fees on donations on its platform,,
2017-11-01,Sean Parker on Facebook: ?˜God only knows what it?™s doing to our children?™s brains??,,
2017-11-01,"Facebook?™s first president, on Facebook: ?˜God only knows what it?™s doing to our children?™s brains??
2017.11,Sean Parker unloads on Facebook: ?œGod only knows what it's doing to our children's brains??
2017.11,Facebook's AI wipes terrorism-related posts
2017.11,Facebook shares updates on use of AI for suicide prevention
2017.11,Facebook says it's able to stop the sharing of most ISIS terror posts within an hour of creation
2017.11,Facebook will teach the unemployed digital/social media skills in 30 cities
2017.11,Facebook to Temporarily Block Advertisers From Excluding Audiences by Race
2017.11,Here's why that Facebook ad is following you and your family
2017.11,Facebook Messenger is stealing Snapchat?™s streaks feature
2017.11,House Intelligence Committee Releases Incendiary Russian Social Media Ads
2017.11,Facebook Has a New App for Finding Places to Go and Things to Do
2017.11,Facebook critic Max Schrems faces partial setback
2017.11,Billionaire Peter Thiel Sells Majority of Facebook Stake"," Pocketing $29 Million""",
2017-11-01,"What the Facebook, Google and Twitter algorithms hide from you",,
2017-11-01,Facebook launches collaborative Stories for Groups and Events,,
2017-11-01,Keeping score of 'friends' on Facebook and Instagram may be harmful to your health,,
2017-11-01,You can now send Facebook Messenger photos in higher resolution,,
2017-11-01,Facebook's Efficient Infringement of Social Media Platforms ...,,
2017-11-01,Snapchat founder Evan Spiegel took a massive shot at Facebook's fake news problem - Business Insider,,
2017-11-01,Facebook?™s New Captcha Test: 'Upload A Clear Photo of Your Face',,
2017-11-01,Ellen Page Accuses Brett Ratner of ?œHomophobic and Abusive Behavior??,,
2017-11-01,Russia invested in Twitter and Facebook through Yuri Milner - Business Insider,,
2017-11-01,Longer-form Facebook videos garner higher engagement,,
2017-11-01,Facebook: Send Us Nudes So We Can Fight Revenge Porn,,
2017-11-01,Facebook data center to be powered by $430 million wind farm in Nebraska,,
2017-11-01,Facebook (Still) Letting Housing Advertisers Exclude Users by Race,,
2017-11-01,"Facebook, Google and others join The Trust Project, an effort to increase transparency around online news",,
2017-11-01,Facebook launches video app for content creators in challenge to YouTube,,
2017-11-01,Facebook and Twitter to give details of Russian-backed Brexit posts,,
2017-11-01,Why Tencent could become an advertising powerhouse like Facebook,,
2017-11-01,How Facebook and Google threaten public health ??and democracy,,
2017-11-01,One day we'll stop using Facebook. What happens next?,,
2017-11-01,Facebook opens 2nd office combating hate speech in Germany,,
2017-11-01,Pew Research Center says 45% of Americans get their news from Facebook,,
2017-11-01,Have a Pressing Question? Poll Your Facebook Friends,,
2017-11-01,Ohio justice issues another apology over Facebook post,,
2017-11-01,Ohio Supreme Court Justice Defends Controversial Facebook ...,,
2017-11-01,Facebook's fake news experiment backfires,,
2017-12-01,Facebook: Now for young children too,,
2017-12-01,Facebook launches a version of Messenger for young children,,
2017-12-01,Facebook ?˜Messenger Kids??lets under-13s chat with whom parents approve,,
2017-12-01,Facebook Just Pushed Its Facial Recognition Into a Creepy ...,,
2017-12-01,New Facebook feature issues alert if you're spotted in someone else's photo - GSMArena.com news,,
2017-12-01,Facebook to notify users when photos of them are uploaded,,
2017-12-01,Facebook found a better way to fight fake news,,
2017-12-01,Facebook to use its News Feed to push more videos to users,,
2017-12-01,Facebook's new London office brings 800 jobs to the capital,,
2017-12-01,Facebook Just Published Its Sexual Harassment Policy. Here's Why,,
2017-12-01,Facebook admits it poses mental health risk ??but says using site more can help,,
2017-12-01,Facebook says ?˜passively consuming??the News Feed will make you feel worse about yourself,,
2017-12-01,2017 was bad for Facebook. 2018 will be worse,,
2017-12-01,Facebook will downrank those spammy posts that ask you to tag your friends - Business Insider,,
2017-12-01,Facebook to start demoting posts with engagement bait titles - GSMArena.com news,,
2017-12-01,Facebook to punish posts that ask for 'likes' and shares,,
2017-12-01,Facebook: Post more to feel better about yourself,,
2017-12-01,Facebook and Twitter: Nine Russian Brexit ads found by inquiries,,
2017-12-01,Facebook's new tool reveals any fake Russian accounts you followed,,
2017-12-01,Facebook?™s music deal could give a big boost to its video effort - Business Insider,,
2017-12-01,"Facebook adds a Snooze button for muting people, groups and Pages for 30 days",,
2017-12-01,Facebook's Take a Break feature lets you temporarily you erase your ex after a breakup,,
2017-12-01,Facebook will now let you temporarily mute a friend's posts,,
2017-12-01,Facebook responds to former exec who feels 'tremendous guilt' for what he helped make - Business Insider,,
2017-12-01,Facebook hits back at former executive Chamath Palihapitiya,,
2017-12-01,Facebook responds to former VP who said social media is destroying society,,
2017-12-01,Facebook to Give Countries a Chance to Tax Its Profits From Local Ads,,
2017-12-01,WhatsApp ordered to stop sharing user data with Facebook,,
2017-12-01,"Facebook (FB) is testing Instagram Direct, a separate messaging app that could destroy Snap that you're forced to use",,
2017-12-01,Facebook grilled on Britain First page by MPs,,
2017-12-01,Facebook allows age-based targeting of job-wanted ads - Business Insider,,
2017-12-01,These are the Job Ads You Can't See on Facebook if You're ...,,
2017-12-01,"Facebook allows employers to target job ads based on age, and that might be illegal",,
2017-12-01,Facebook use of third-party apps 'violates data protection principles',,
2017-12-01,Jeremy Hunt attacks Facebook over app aimed at children,,
2017-12-01,Facebook introduces new augmented reality effects for Messenger,,
2017-12-01,Facebook and Universal Music Group sign deal to allow users to upload songs in videos,,
2017-12-01,7 reasons Facebook is the best place to work in America and no other company can compare - Business Insider,,
2017-12-01,Facebook reveals rise in official data requests,,
2017-12-01,What does Facebook consider hate speech?,,
2017-12-01,Want to open a Facebook account? Keep your Aadhaar card by your side,,
2017-12-01,Click-to-WhatsApp messaging buttons are now rolling out in Facebook ads,,
2017-12-01,Facebook Pages Can Now Add Click-to-WhatsApp Buttons to Their Boosted Organic Posts,,
2017-12-01,Facebook ads can now link to brands??WhatsApp accounts,,
2017-12-01,"UK minister threatens to tax Facebook, Google, over online extremism - Business Insider",,
2017-12-01,Facebook Messenger Kids probably won't ruin your children,,
2017-12-01,"50 arrested after Chicago police infiltrate Facebook groups selling guns, drugs",,
2017-12-01,New Cryptocurrency Mining Bot Is Infesting Facebook Messenger | Security,,
2017-12-01,"Police: Girl, 15, stabbed 80 times, set on fire in West Philadelphia; met killer on Facebook",,
2017-12-01,Facebook?™s Year in Review confirms 2017 was terrible,,
2018-01-01,Facebook plans major changes to news feed,,
2018-01-01,Facebook overhauls News Feed in favor of 'meaningful social interactions',,
2018-01-01,"Facebook Focuses News Feed On Friends And Family, Curbing The Reach Of Brands And Media",,
2018-01-01,How Facebook could really fix itself,,
2018-01-01,"Facebook is still raking it in, even as people spend less time on the service",,
2018-01-01,Mark Zuckerberg: Facebook changes result in 50 million fewer hours spent on platform - Business Insider,,
2018-01-01,Facebook Is Banning Ads for Bitcoin and ICOs,,
2018-01-01,Facebook to use surveys to boost ?˜trustworthy??news,,
2018-01-01,"Facebook is a 'living, breathing crime scene,' says one former tech insider",,
2018-01-01,"Don't use Facebook's Messenger Kids, critics say",,
2018-01-01,Facebook and Google criticised by George Soros,,
2018-01-01,"Facebook and Google are doomed, George Soros says",,
2018-01-01,George Soros: Facebook and Google a menace to society,,
2018-01-01,Facebook's updated News Feed algorithm will be a nightmare for publishers - Business Insider,,
2018-01-01,"Facebook changes News Feed, investors click on 'sad'",,
2018-01-01,Facebook to Reduce News Feed Noise and Business Pages Could See Big Hit,,
2018-01-01,Changes are coming to Facebook Messenger with simplicity ...,,
2018-01-01,Facebook to roll out new tools in response to EU privacy laws,,
2018-01-01,Facebook thought it was more powerful than a nation-state. Then that became a liability,,
2018-01-01,Facebook to expand inquiry into Russian influence of Brexit,,
2018-01-01,Facebook news-feed changes will cut into publishers??branded-content revenue,,
2018-01-01,"I run a small, independent magazine. I worry Facebook will kill us off",,
2018-01-01,How to keep your favorite Facebook pages in your newsfeed,,
2018-01-01,Facebook?™s news feed change won?™t help social media addiction,,
2018-01-01,Facebook invites you to live in a bubble where you are always right,,
2018-01-01,Facebook's startling new ambition is to shrink,,
2018-01-01,Facebook Teaches You How to Keep Your Data Private,,
2018-01-01,Facebook is reportedly launching a $499 video device called Portal,,
2018-01-01,Facebook Can?™t Be Fixed.,,
2018-01-01,Facebook earnings: How will news feed changes impact revenue?,,
2018-01-01,News-feed change raises questions for the future of Facebook Watch,,
2018-01-01,"Facebook should be 'regulated like cigarette industry', says tech CEO",,
2018-01-01,Facebook says it will begin putting more local news into the News Feed,,
2018-01-01,Facebook invented a new time unit called the ?˜flick??and it?™s truly amazing,,
2018-01-01,"Facebook is shutting down M, its personal assistant service that combined humans and AI",,
2018-01-01,Protest by Indonesian Islamists accuses Facebook of discrimination,,
2018-01-01,"Facebook Was Biggest Distributor of Fake News, Study Finds",,
2018-01-01,"Facebook, Alphabet shifted in sector classification system",,
2018-01-01,Facebook just struck a deal with Sony's music division to let users share music videos - Business Insider,,
2018-01-01,Rupert Murdoch says Facebook should pay for 'trusted' news,,
2018-01-01,Rupert Murdoch wants Facebook to pay for ?˜trustworthy??news,,
2018-01-01,How to train your Facebook News Feed to give you the info ...,,
2018-01-01,Facebook News Feed Changes: Why You Don't Need A New ...,,
2018-01-01,"Facebook's trust survey, which will help determine News Feed ...",,
2018-01-01,"Public trust in Facebook and Twitter has fallen to new low, study finds",,
2018-01-01,"Why You Can't Advertise ICOs, Bitcoin, or Any Other ...",,
2018-01-01,Russian trolls created Facebook events seen by more than ...,,
2018-01-01,How to Keep Getting News in Facebook?™s Changing News Feed,,
2018-01-01,Europe?™s highest court sides with Facebook in privacy class-action lawsuit,,
2018-01-01,"Amazon, Facebook, and Google to Join Legal Battle Over Net Neutrality",,
2018-02-01,How Facebook could really fix itself,,
2018-02-01,Unilever threatens to pull ads from Facebook and Google,,
2018-02-01,Marmite maker Unilever threatens to pull ads from Facebook and Google,,
2018-02-01,Cambodia Facebook feud hits California courts,,
2018-02-01,Facebook Loses Younger Users in the US 2018,,
2018-02-01,Facebook ordered to stop collecting user data by Belgian court,,
2018-02-01,"Facebook broke German privacy laws, court rules",,
2018-02-01,Facebook Funded Most of the Experts Who Vetted Messenger Kids,,
2018-02-01,Facebook has big plans to bring internet to more people in rural areas,,
2018-02-01,Trump campaign gamed Facebook ads even better than we thought,,
2018-02-01,Facebook takes another step into crisis response,,
2018-02-01,Inside Facebook's Hellish Two Years?”and Mark Zuckerberg's Struggle to Fix it All,,
2018-02-01,Facebook Messenger now lets you add friends to ongoing video chats,,
2018-02-01,Facebook ends its experiment with the alternative ?˜Explore??news feed,,
2018-02-01,"Facebook Takes On LinkedIn And Glassdoor, Expanding Its Job-Posting Tool To 40 Countries",,
2018-02-01,People Still Spend an Absurd Amount of Time on Facebook,,
2018-02-01,Facebook confirms test of a downvote button for flagging comments,,
2018-02-01,Facebook is pushing its data-tracking Onavo VPN within its main mobile app,,
2018-02-01,Facebook says it?™s clarifying its ad metrics,,
2018-02-01,Former Facebook and Google employees fight tech 'addiction',,
2018-02-01,"Facebook isn?™t restricting your News Feed to 26 friends, no matter what a viral hoax claims",,
2018-02-01,How Facebook stole the news business,,
2018-02-01,Seattle says Facebook is violating city campaign finance law,,
2018-02-01,Facebook is creating a news section in Watch to feature breaking news,,
2018-02-01,Facebook launches a local news accelerator for publishers,,
2018-02-01,'Parents killed it': why Facebook is losing its teenage users,,
2018-02-01,How Facebook?™s latest changes impact inewsource?™s content on your News Feed,,
2018-02-01,Nationalist Monk Known as the 'Burmese bin Laden' Has Been Stopped From Spreading Hate on Facebook,,
2018-02-01,"Facebook is planning a more direct assault on YouTube, sources say",,
2018-02-01,It's A Hoax. Facebook Is Not Limiting Your News Feed To 26 People,,
2018-02-01,How ad-free subscriptions could save Facebook,,
2018-02-01,Facebook Notification Spam Has Crossed the Line,,
2018-02-01,Comedian Jim Carrey urges people to delete their Facebook accounts and dump the stock,,
2018-02-01,"Facebook inks music licensing deal with ICE covering 160 territories, 290K rightsholders on FB, Insta, Oculus and Messenger",,
2018-02-01,Facebook?™s new Lists feature is yet another way to post personal updates,,
2018-02-01,Eight reasons Facebook has peaked,,
2018-02-01,EU gives Facebook and Google three months to tackle extremist content,,
2018-02-01,Facebook expands customer service tools in Messenger,,
2018-02-01,Facebook?™s app for kids should freak parents out,,
2018-02-01,Facebook Messenger used to fight extremism,,
2018-02-01,Facebook's New Face Recognition Features: What We Do (and Don't) Know [Updated],,
2018-02-01,Facebook?™s tracking of non-users ruled illegal again,,
2018-02-01,Facebook and Google Struggle to Squelch ?˜Crisis Actor??Posts,,
2018-02-01,Brazil's biggest newspaper pulls content from Facebook after algorithm change,,
2018-02-01,"LittleThings shuts down, a casualty of Facebook news feed change",,
2018-02-01,How to land a job at Facebook,,
2018-02-01,"Hoping for better customer service, travelers turn to Facebook?™s Messenger",,
2018-02-01,"To Stir Discord in 2016, Russians Turned Most Often to Facebook",,
2018-03-01,Facebook and Cambridge Analytica: What You Need to Know as Fallout Widens,,
2018-03-01,Facebook data row: Cambridge Analytica academic a 'scapegoat',,
2018-03-01,Shareholders won't force Zuckerberg's hand in Facebook management,,
2018-03-01,The countries that trust Facebook the most are also the most vulnerable to its mistakes,,
2018-03-01,Who is Facebook CEO and founder Mark Zuckerberg?,,
2018-03-01,Does Mark Zuckerberg have too much power at the helm of Facebook?,,
2018-03-01,Revealed: 50 million Facebook profiles harvested for Cambridge Analytica in major data breach,,
2018-03-01,Facebook is killing democracy with its personality profiling data,,
2018-03-01,I downloaded all my Facebook data. This is what I learned.,,
2018-03-01,U.N. Fact Finders Say Facebook Played a 'Determining' Role in Violence Against the Rohingya,,
2018-03-01,"All the ways Trump?™s campaign was aided by Facebook, ranked by importance",,
2018-03-01,Facebook told me it would act swiftly on data misuse ??in 2015,,
2018-03-01,These Companies Have Cut Their Ties With Facebook Amid the Cambridge Analytica Data Scandal,,
2018-03-01,Cambridge Analytica and Facebook: The scandal so far,,
2018-03-01,No one thinks this is 'the end of Facebook' ... yet investors sense blood in the water - Business Insider,,
2018-03-01,Elon Musk Just Deleted His Facebook Account,,
2018-03-01,Are you ready? Here is all the data Facebook and Google have on you,,
2018-03-01,UK investigators search London office of firm at center of Facebook data storm,,
2018-03-01,Facebook and Google executives clash over ?˜fake news??,,
2018-03-01,New survey finds Americans??trust in Facebook continues to decline,,
2018-03-01,Facebook Ends Six-Country Test of Two Separate News Feeds,,
2018-03-01,Facebook ends its experiment with the alternative ?˜Explore??news feed,,
2018-03-01,Facebook to End News Feed Experiment in 6 Countries That Magnified Fake News,,
2018-03-01,Facebook bans Britain First and its leaders,,
2018-03-01,Brian Acton got rich selling WhatsApp to Facebook. Now he wants you to #deletefacebook,,
2018-03-01,Apple's Tim Cook rebukes Zuckerberg over Facebook's business model,,
2018-03-01,Congress wants to drag Google and Twitter into Facebook?™s privacy crisis,,
2018-03-01,Why Are We Only Now Talking About Facebook And Elections?,,
2018-03-01,"WhatsApp sharing user data with Facebook would be illegal, rules ICO",,
2018-03-01,Facebook asks users: should we allow men to ask children for sexual images?,,
2018-03-01,Cambridge Analytica: The story so far,,
2018-03-01,Facebook Signs Exclusive Deal to Stream 25 MLB Games,,
2018-03-01,Facebook has music deals with every major record label now. Why?,,
2018-03-01,"While Facebook spars with critics, Twitter goes for humility on social media",,
2018-03-01,Killing the (Facebook) Messenger,,
2018-03-01,How Facebook Blew It,,
2018-03-01,The Observer view on how Facebook?™s destructive ethos imperils democracy,,
2018-03-01,"Section 230: A Key Legal Shield For Facebook, Google Is ...",,
2018-03-01,Acxiom Announces Change to Facebook Relationship,,
2018-03-01,People are sharing their terrifying downloaded Facebook data - Business Insider,,
2018-03-01,"BlackBerry files lawsuit against Facebook, WhatsApp and Instagram",,
2018-03-01,Mozilla?™s new Firefox extension keeps your Facebook data isolated to the social network itself,,
2018-03-01,Mozilla's new Firefox extension keeps Facebook locked in its ...,,
2018-03-01,Keep Facebook From Spying on You Without Deleting Your Account,,
2018-03-01,Fed up with Facebook? Here's how to protect your data,,
2018-03-01,Facebook was warned about app permissions in 2011,,
2018-03-01,Why it's so hard to #DeleteFacebook: Constant psychological boosts keep you hooked,,
2018-03-01,Fair Housing Groups Sue Facebook for Allowing Discrimination in Housing Ads,,
2018-03-01,Silicon Valley?™s season 5 opening credits include a Facebook Easter egg,,
2018-04-01,Facebook chief Mark Zuckerberg admits responsibility for data misuse,,
2018-04-01,Facebook Is Telling People Their Data Was Misused by Cambridge Analytica and They?™re Furious,,
2018-04-01,Facebook to contact 87 million users affected by data breach,,
2018-04-01,"Facebook says data leak hits 87 million users, widening privacy scandal",,
2018-04-01,How to stop haemorrhaging data on Facebook,,
2018-04-01,Facebook data harvesting scandal widens to 87 million people,,
2018-04-01,Facebook Says Sorry (Sort Of) In Its Biggest Ever Ad Campaign,,
2018-04-01,Facebook is now a vital part of our democracy,,
2018-04-01,Facebook to exclude billions from European privacy laws,,
2018-04-01,Why we should all cut the Facebook cord. Or should we?,,
2018-04-01,Facebook is making a Tinder killer to help people find dates ??'not just hookups' - Business Insider,,
2018-04-01,"Zuckerberg doubles down on Facebook?™s fight against fake news, data misuse",,
2018-04-01,Facebook to allow users to opt out of browser history tracking,,
2018-04-01,"Facebook Updates Community Standards, Expands Appeals ...",,
2018-04-01,These are Facebook's secret rules for removing posts,,
2018-04-01,Facebook releases content moderation guidelines ??rules long kept secret,,
2018-04-01,Facebook Imposes New Restrictions on Ads and Popular Pages,,
2018-04-01,Competition Is at the Heart of Facebook?™s Privacy Problem,,
2018-04-01,Myanmar groups criticise Zuckerberg's response to hate speech on Facebook,,
2018-04-01,Professor Apologizes for Helping Cambridge Analytica Harvest Facebook Data,,
2018-04-01,Zuckerberg says Facebook will offer GDPR privacy controls everywhere,,
2018-04-01,Facebook may face billions in fines over its Tag Suggestions feature,,
2018-04-01,Facebook could be forced to pay billions of dollars over alleged violations of Illinois biometrics law,,
2018-04-01,These Ex-Spies Are Harvesting Facebook Photos For A Massive Facial Recognition Database,,
2018-04-01,Facebook expands downvote tests on comments,,
2018-04-01,Facebook?™s 2017 Privacy Audit Didn?™t Catch Cambridge Analytica,,
2018-04-01,Facebook will no longer let apps automatically post to your ...,,
2018-04-01,WhatsApp Says It Collects Very Little Data as Facebook Privacy Scandal Rages On,,
2018-04-01,Most Americans don't know Instagram is owned by Facebook ??and that's no accident,,
2018-04-01,Apple co-founder Steve Wozniak says he's left Facebook over data collection,,
2018-04-01,"Facebook reveals Russian troll content, shuts down 135 IRA accounts",,
2018-04-01,"In online advertising, Facebook is a publisher",,
2018-04-01,Facebook opens Authorization tab in Page settings for advertisers running political ads,,
2018-04-01,What's Not Included in Facebook's 'Download Your Data',,
2018-04-01,Did Fake News On Facebook Help Elect Trump? Here's What ...,,
2018-04-01,How Facebook Blew It,,
2018-04-01,Indonesia MPs grill Facebook officials on data breaches,,
2018-04-01,Vietnam activists question Facebook on suppressing dissent,,
2018-04-01,Facebook?™s Messenger Kids??app gains a ?˜sleep mode??,,
2018-04-01,"In one month, Facebook doubled the countries using its fact-checking tool ??all outside the West",,
2018-04-01,Why Facebook Triumphed Over All Other Social Networks,,
2018-04-01,Tobacco products promoted on Facebook despite policies ...,,
2018-04-01,Facebook should pay its 2bn users for their personal data,,
2018-04-01,Facebook is building a team to design its own chips,,
2018-04-01,The Facebook Fallacy: Privacy Is Up to You,,
2018-04-01,Facebook drops fundraising fees for personal causes,,
2018-04-01,Why you should delete Facebook Messenger,,
2018-04-01,The law that made Facebook what it is today,,
2018-04-01,"Facebook 'too slow to deal with hack', says singer",,
2018-04-01,Facebook will give all US users helpful context about articles shared in News Feed,,
2018-05-01,"Cambridge Analytica, Data Firm That Scraped Facebook, Is Closing : The Two-Way",,
2018-05-01,Facebook is making a Tinder killer to help people find dates ??'not just hookups' - Business Insider,,
2018-05-01,Facebook to allow users to opt out of browser history tracking,,
2018-05-01,Everything you need to know from Facebook's 2018 F8 ...,,
2018-05-01,Facebook Is Scrapping Its Troubled 'Trending' News Section,,
2018-05-01,Who's policing Facebook?,,
2018-05-01,Facebook Suspends 200 Apps Amidst Data Privacy Investigation. And More Could Be Coming,,
2018-05-01,Facebook accused of conducting mass surveillance through its apps,,
2018-05-01,"What Happened to Internet.org, Facebook's Grand Plan to Wire the World?",,
2018-05-01,Facebook to be banned in Papua New Guinea for a month,,
2018-05-01,Why Facebook will never die,,
2018-05-01,"Facebook, Google limit ads in effort to prevent interference in Irish abortion referendum",,
2018-05-01,Facebook?™s new rules for political & issue ads start today,,
