date,title,
2017-09-01,What is Windows Mixed Reality?,
2017-09-01,Microsoft CEO Satya Nadella on Steve Ballmer and the Nokia ...,
2017-09-01,Microsoft's new coding language is made for quantum ...,
2017-09-01,How Microsoft CEO Satya Nadella disrupted the corporate retreat,
2017-09-01,"Microsoft adds new Microsoft 365 versions, plus security and management features",
2017-09-01,Microsoft is going all in on Teams and plans to phase out Skype for Business,
2017-09-01,Huawei announces Microsoft cloud apps partnership,
2017-09-01,Anaconda and Microsoft Partner to Deliver Python-Powered ...,
2017-09-01,Microsoft unveils its next-generation AI developer tools,
2017-09-01,Microsoft Teams and Progressive Web Apps coming soon to the Windows Store,
2017-09-01,Microsoft is rebranding the Windows Store as 'Microsoft Store' on Windows 10,
2017-09-01,Windows Store rebranded to Microsoft Store in Windows 10,
2017-09-01,Windows Store Rebranded to Microsoft Store,
2017-09-01,Bill Gates switches to Android phone,
2017-09-01,Microsoft aims 365 at an enormous overlooked market ??front-line workers,
2017-09-01,Microsoft's subsea speed monster: A cable 16 million times faster than your broadband,
2017-09-01,Win 8.1 monthly rollup leaves customers unable to use Microsoft account,
2017-09-01,Xbox chief Phil Spencer joins Microsoft's senior leadership team,
2017-09-01,Microsoft adds guest access capabilities to Teams,
2017-09-01,Microsoft opens pre-orders for standard Xbox One X,
2017-09-01,MSFT: Microsoft Corporation (MSFT) Is Suddenly A Huge ...,
2017-09-01,Microsoft to hold Surface keynote in London next month,
2017-09-01,"Microsoft announcing more Surface computers, no Surface ...",
2017-09-01,"Microsoft Surface Laptop now available in more countries, in ...",
2017-09-01,"Microsoft: Windows getting more stable, faster, and lasting longer on battery",
2017-09-01,Microsoft is opening its first retail store in London,
2017-09-01,When Microsoft met SUSE: This Windows-Linux partnership gets stronger every day,
2017-09-01,Microsoft replacing Skype for Business with Teams,
2017-09-01,Microsoft may be repositioning some (or all) of Skype for Business as Teams,
2017-09-01,Microsoft is being forced to build its own power station in Dublin - Business Insider,
2017-09-01,Microsoft?™s LTE Surface Pro expected to launch on December 1st,
