date,title,Unnamed: 2,Unnamed: 3
2017-09-01,Nvidia gets broad support for cutting-edge Volta GPUs in the data center,,
2017-09-01,Nvidia strikes deals for AI-focused chips with Chinese tech giants,,
2017-09-01,Nvidia targets China with hardware and unveils software to slash AI costs,,
2017-09-01,"Nvidia and AMD aren?�t at serious risk from crypto concerns, analysts say",,
2017-09-01,Analyst: Cryptocurrency Mining Is Boosting AMD and Nvidia ---,,
2017-09-01,Jefferies says cryptocurrency mining market is strong for Nvidia and AMD,,
2017-09-01,Google Assistant turns Nvidia Shield TV into a hands-free smart device,,
2017-09-01,Tesla switches from NVIDIA to Intel for its infotainment systems,,
2017-09-01,NVIDIA drops the basic Shield TV's price to $180,,
2017-09-01,Supermicro steps up with Optimized Systems for NVIDIA Tesla ---,,
2017-09-01,First Volta-based Nvidia DGX Systems Ship to Boston-based ---,,
2017-09-01,Nvidia and Avitas Systems partner on using AI to help robots spot defects,,
2017-09-01,Supercomputing Moves to the Edge With AI-Guided Drones,,
2017-09-01,Why a 24-Year-Old Chipmaker Is One of Tech?�s Hot Prospects,,
2017-09-01,NVIDIA Ships First Volta DGX-1 | TOP500,,
2017-09-01,Intel's Coffee Lake CPUs Aren't A Threat To Nvidia And AMD GPUs,,
2017-09-01,Tesla Working With AMD on Self-Driving Car Processor,,
2017-09-01,"JD X taps Nvidia for drone deliveries, rescue and agricultural use",,
2017-09-01,NVIDIA Graphics Card Prices To Continue To Rise Until December Report Claims,,
2017-09-01,Nvidia CEO says Moore?�s Law is dead and GPUs will replace CPUs,,
2017-09-01,NVIDIA Announces Middle-Earth: Shadow of War Game Bundle Promo For GeForce GTX 1080 Ti and GeForce GTX 1080 Buyers,,
2017-09-01,"If Nvidia?�s Volta GPU is 132% faster than Pascal, imagine what the new Titan?�s like??,,
2017-9,NVIDIA 1070ti ??Strong Rumours for a Release in October at a ---,,
2017-9,Nvidia reveals Need for Speed Payback system requirements and a new 4K trailer,,
2017-9,Guru3D-com » Downloads » GeForce 385-69 WHQL driver ---,,
2017-9,Nvidia picks up Alibaba and Huawei as partners for smart city platform,,
2017-9,Attention mini-ITX PC builders: Gigabyte has the world?�s smallest Nvidia GTX 1080,,
2017-9,NVIDIA?�s Tesla P100 Compute Accelerator Boosts Google?�s Cloud Platform ??Tesla K80 Also Available For High Performance"," Scalable Virtual Machines""",
2017-09-01,Nvidia GPU prices reportedly set to keep rising thanks to DRAM shortage and cryptocurrency,,
2017-09-01,"Intel Can Beat Nvidia in 'Inference' of A-I-, Says Morningstar",,
2017-09-01,"NVIDIA GTX 1070 Ti Alleged Specs Surface, A Bargain 1080 Without G5X ??Due In October At ~$429",,
2017-09-01,Gigabyte Hypes NVIDIA GeForce GTX 1070 Ti Rumors With Facebook Post,,
2017-09-01,Nvidia's rumored GTX 1070 Ti specs could scare the pants off ---,,
2017-09-01,AMD vs- NVIDIA: Here?�s How the GPU War Is Playing Out,,
2017-09-01,Upgrading from NVIDIA's GTX 1070 GPU to GTX 1080 Ti: Is it worth it?,,
2017-09-01,"Nvidia is giving away 50,000 Shadow of Mordor game codes",,
2017-09-01,This tiny tool checks for Nvidia updates if you don't want to use GeForce Experience,,
2017-09-01,Nvidia's CEO Declares Moore's Law Dead,,
2017-09-01,Kinetica Partners with NVIDIA to 'Turbo-Charge' Tableau,,
2017-09-01,Walmart will use Nvidia and AI to gain ground on Amazon - Business Insider,,
2017-09-01,Nvidia driver update broke Night light? Here's the fix - MSPoweruser,,
2017-09-01,Nvidia GeForce GTX 1050 Graphics Card Prices,,
2017-09-01,"Nvidia's Most Valuable Business Is Hidden In Its Financials, Says Analyst",,
2017-09-01,AI is a 'coming with NVIDIA Jetson,,
2017-09-01,Nvidia GeForce GT 1030 Graphics Card Prices,,
2017-09-01,NVIDIA Targets Next AI Frontiers: Inference And China,,
2017-09-01,NVIDIA Releases 385-69 WHQL Game Ready Driver,,
2017-09-01,NVIDIA WhisperMode Tested - Quieter Gaming for Notebooks,,
2017-09-01,Bitcoin and Nvidia Prices Soar in Sync | Markets and Prices,,
2017-09-01,New Lightweight App Checks NVIDIA Driver Updates,,
2017-10-01,"Nvidia, ZF, Deutsche Post to launch autonomous delivery trucks",,
2017-10-01,NVIDIA introduces a computer for level 5 autonomous cars,,
