date,title
2017-09-01,Pfizer files suit against J&J over Remicade contracts
2017-09-01,"Pfizer Alleges J&J Thwarted Competition to Remicade, in Legal Test of Biotech-Drug Copies"
2017-09-01,"Pfizer sues Johnson & Johnson, alleging anticompetitive practices to maintain a drug monopoly"
2017-09-01,"Pfizer, Astellas prostate cancer drug promising in late-stage trial"
2017-09-01,SpringWorks Spins Out of Pfizer With $103M to Give Shelved ...
2017-09-01,U.S. FDA warns of problems with EpiPen manufacturing plant
2017-09-01,Pfizer hits a snag in bid to jump-start Sutent's flagging kidney ...
2017-09-01,Pfizer spins out SpringWorks Therapeutics biotech
2017-09-01,Pfizer's Ibrance To Rally Share Price Past $40
2017-09-01,These Pfizer's Products Are Now Losing Market Share
2017-09-01,Pfizer and Flynn Pharma fined ??01 million for charging the ...
2017-09-01,Pfizer's fast-growing Ibrance romps toward an early $5B payoff ...
2017-09-01,LabCentral to Open Next-Stage Facility for Growing Life ...
2017-09-01,How Viagra was discovered by Pfizer
2017-09-01,City Planning signs off on rezoning of Rabsky?ôs Pfizer sites
2017-09-01,Pfizer spin-off SpringWorks embraces shelved therapies
2017-09-01,Pfizer Exposes the Sordid Underbelly of Drug Prices
2017-09-01,Pfizer's Mylotarg returns to market after seven-year hiatus
2017-09-01,"Pfizer's Former Head of Real World Data and Analytics, Marc ..."
2017-09-01,"Pfizer CEO, CFO Sell $13 Million in Stock"
2017-09-01,'His death still hurts': the Pfizer anti-smoking drug ruled to have contributed to suicide
2017-09-01,Right after Trump blamed high drug prices on campaign cash ...
2017-09-01,CureTech buys back cancer drug from Pfizer for $20m
2017-09-01,"Pfizer is falling short in a competitive market, Johnson ..."
2017-09-01,Pfizer leads Big Pharma's emerging markets growth as ...
2017-09-01,Pfizer Korea releases new tool for rheumatism injection
2017-09-01,FDA faults Celltrion plant that makes Pfizer's Remicade copy ...
2017-09-01,Los gigantes farmac√©uticos Pfizer y Johnson & Johnson se enzarzan en los tribunales
2017-09-01,"Pfizer, Eli Lilly respond to reports of drug shortages from Puerto Rico damage"
2017-09-01,Pfizer sues Sun Pharmaceuticals to block generic Bosulif
2017-09-01,Pfizer Gamifies Healthcare With Minecraft-Like Hemocraft
2017-09-01,Korean pharmaceuticals challenge Pfizer's Viviant with ...
2017-09-01,G-CON Manufacturing to Expand and Enhance the Capability ...
2017-09-01,Rezoning Moves Forward for Rabsky Group's Pfizer ...
2017-09-01,"FiercePharmaAsia?îBig Pharma's performance, Fosun's ..."
2017-09-01,"3 global pharma giants, NUS and A*Star team up for ..."
2017-09-01,"In a 6-6 vote, ODAC says ?úmaybe??to Sutent for adjuvant kidney cancer?îBut at FDA ?úMaybe??has meaning"
2017-09-01,Is Pfizer?ôs ¬£84.2m competition fine Orwellian equality?
2017-09-01,Viagra in China: Pfizer Taps Leo Burnett as it's Strategic ...
2017-09-01,'This is about life and death': Pharmaceutical patents threaten ...
2017-09-01,Versartis crashes as VELOCITY trial veers off track
2017-09-01,80 workers to lose jobs as longtime Easton-area pigments manufacturer will close
2017-09-01,"Pfizer supports GPs in Nigeria, Ghana, Kenya"
2017-09-01,Phase 3 flop puts Versartis on life support
