sentence,logit,prediction,sentiment_score
"title,
BofA names picks to play growing penetration of online commerce,?",[0.68069303 0.01485556 0.3044514 ],positive,0.66583747
"""As Facebook and Google went, so went communications services names: Q3 Spotlight"",?",[0.03745073 0.03169143 0.93085784],neutral,0.005759299
"""Senate panel will subpoena Zuckerberg, Pichai, Dorsey"",?",[0.03771008 0.28456014 0.6777297 ],neutral,-0.24685006
"Google News Showcase launches with $1B financial commitment,?",[0.40511653 0.01393689 0.58094656],neutral,0.39117965
"""Senate committee to vote on subpoenas for CEOs of Google, Facebook, Twitter"",?",[0.10195272 0.10151737 0.79652995],neutral,0.00043534487
"""Google launches new phones, streaming device, speaker at event"",?",[0.05655868 0.00801131 0.93543   ],neutral,0.048547365
"Sinclair's regional sports nets departing YouTube TV,?",[0.02484984 0.0322625  0.9428876 ],neutral,-0.007412661
"Sonos files new wireless audio patent suit against Google,?",[0.05763017 0.7320573  0.21031255],negative,-0.6744271
"Google facing Android antitrust probe in China - Reuters,?",[0.03475555 0.7631554  0.20208909],negative,-0.7283999
"Auto ETFs may offer relatively cheap play on booming consumer,?",[0.2893633  0.01791665 0.69272006],neutral,0.27144665
"Google expanding its London offices - report,?",[0.38850105 0.04458963 0.5669094 ],neutral,0.3439114
"Communication services edges out of correction territory: At the Open,?",[0.1713301  0.27021074 0.55845916],neutral,-0.09888065
"Microsoft's Bing wins slots in Google's EU mobile search auction,?",[0.5969001  0.11752299 0.28557685],positive,0.47937712
"Fitbit +5% after Google submits more concessions to EU antitrust watchdog,?",[0.7960475  0.14585942 0.05809305],positive,0.6501881
"Judge dismisses New Mexico's privacy claims against Google,?",[0.05262211 0.7013097  0.2460682 ],negative,-0.6486876
"BofA names the defensive stocks to consider to ride out fall volatility,?",[0.04058125 0.01823096 0.9411878 ],neutral,0.022350289
"Google blocking political ads after election polls close - Axios,?",[0.02151799 0.81358683 0.16489522],negative,-0.79206884
"""Alphabet board settles sexual misconduct handling suit, ends mandatory arbitration"",?",[0.04202396 0.59599215 0.36198387],negative,-0.5539682
"""Amazon launches Luna, its Stadia-like cloud videogaming service"",?",[0.11164606 0.0133924  0.87496156],neutral,0.09825366
"""Senate committee set to subpoena CEOs of Google, Facebook, Twitter over Section 230"",?",[0.0362877  0.66551715 0.29819515],negative,-0.6292294
"""YouTube expands fact-checking, Facebook readies oversight board"",?",[0.0604307  0.02183939 0.91772985],neutral,0.03859131
"DOJ proposes congressional limits for Internet-company immunity,?",[0.04585896 0.04834537 0.90579563],neutral,-0.0024864078
"""Facebook, YouTube and Twitter ink deal with advertisers on harmful content"",?",[0.03689538 0.10891308 0.8541916 ],neutral,-0.0720177
"Justice Dept  ready to brief state AGs on expected Google antitrust suit - report,?",[0.04404872 0.27278593 0.6831654 ],neutral,-0.22873722
"""Barclays sees valuations at dot-com bubble levels, cuts megacaps"",?",[0.02340072 0.92828745 0.04831187],negative,-0.9048867
"Needham highlights value drivers implying 70% upside for this ad industry player,?",[0.66549444 0.03031777 0.30418774],positive,0.63517666
"Internet/platform stocks rise on bullish initiation at KeyBanc,?",[0.7858739  0.13831311 0.07581299],positive,0.6475608
"""Google to unveil new phones, smart speakers, Chromecast Sept  30"",?",[0.23753323 0.0132254  0.74924135],neutral,0.22430782
"""YouTube introduces Shorts, its own TikTok-alike feature"",?",[0.08769079 0.0123636  0.8999456 ],neutral,0.075327195
"""Amid pandemic, streaming music revenues may rise by $1B-plus in 2020"",?",[0.92118764 0.01373056 0.06508173],positive,0.90745705
"""Antitrust case against Google to expand, with about a dozen states joining - Bloomberg"",?",[0.5726172  0.02493438 0.40244845],positive,0.54768276
"Apple loosens App Store rules on game streaming rivals (slightly),?",[0.04921665 0.8996112  0.05117216],negative,-0.85039455
