sentence,logit,prediction,sentiment_score
"title,
First rolling review of COVID-19 vaccine data underway in Europe,?",[0.10127038 0.00674081 0.8919888 ],neutral,0.09452957
"J&amp;J finalizes Momenta Pharma buy,?",[0.04060133 0.08620038 0.8731983 ],neutral,-0.045599047
"FDA OKs expanded use of J&amp;J's Simponi Aria,?",[0.5940118  0.03502797 0.37096033],positive,0.5589838
"J&amp;J files U S  application for IV selexipag for high blood pressure in lung arteries,?",[0.07479541 0.06639974 0.8588048 ],neutral,0.008395672
"Lonza confident on production of Moderna COVID-19 vaccine,?",[0.37802073 0.02024812 0.6017311 ],neutral,0.35777262
"""Devon, Chevron giving lift to badly-bruised energy sector: At the Open"",?",[0.49285877 0.07490455 0.43223667],positive,0.4179542
"J&amp;J COVID-19 vaccine sees strong immune response in early trial,?",[0.86947197 0.01292935 0.11759864],positive,0.8565426
"FDA issues final rule for importation of drugs from abroad,?",[0.15427677 0.01095887 0.83476436],neutral,0.14331791
"Vaccine news roundup - Cuomo sets up panel for separate NY review,?",[0.09903254 0.04309469 0.8578728 ],neutral,0.05593785
"All six COVID-19 vaccines in industrial manufacturing - HHS Secretary Azar,?",[0.03194725 0.07600047 0.8920523 ],neutral,-0.04405322
"White House may overrule tightening of FDA vaccine rules,?",[0.07975049 0.7080017  0.21224783],negative,-0.6282512
"U K  to host first human challenge studies for COVID-19 vaccines,?",[0.40639728 0.01813264 0.57547003],neutral,0.38826466
"J&amp;J launches large-scale study of COVID-19 vaccine,?",[0.1220573  0.01216695 0.8657757 ],neutral,0.10989036
"Genmab drops 12% on legal dispute with J&amp;J over cancer drug Darzalex,?",[0.01553344 0.9682864  0.01618015],negative,-0.95275295
"Stricter FDA standards make COVID-19 vaccine approval unlikely before election day,?",[0.04808173 0.6615122  0.29040617],negative,-0.61343044
"Medicare coverage of COVID-19 vaccine not there - WSJ,?",[0.04275547 0.24215992 0.7150847 ],neutral,-0.19940445
"New York files civil charges against J&amp;J over opioids,?",[0.01674796 0.90243953 0.08081246],negative,-0.8856916
"SpringWorks teams up with Janssen in multiple myeloma study,?",[0.27480212 0.02388309 0.70131475],neutral,0.250919
"COVID-19 vaccine trials ramp up as world awaits efficacy data,?",[0.78056973 0.02780785 0.19162236],positive,0.7527619
"AstraZeneca COVID-19 vaccine on track for 2020 filing: Soriot,?",[0.05173551 0.10661171 0.8416528 ],neutral,-0.054876205
"J&amp;J files U S  application for expanded use of Darzalex Faspro,?",[0.04271339 0.01936199 0.93792456],neutral,0.0233514
"AstraZeneca COVID-19 vaccine study put on hold after adverse reaction,?",[0.0266195  0.7979557  0.17542484],negative,-0.7713362
"Drug company chiefs sign pledge backing COVID-19 vaccine safety and efficacy,?",[0.81937253 0.0219725  0.15865503],positive,0.79740006
"EC OKs expanded use of J&amp;J's Imbruvica + Rituximab for leukemia,?",[0.7930638  0.01401245 0.19292377],positive,0.77905136
"Trump considers 'decoupling' U S  from China,?",[0.05287402 0.47906968 0.46805623],negative,-0.42619565
"COVID-19 vaccine developers prepare joint pledge on safety - WSJ,?",[0.5249907  0.01249707 0.46251222],positive,0.5124936
"J&amp;J COVID-19 vaccine prevents severe disease in preclinical studies,?",[0.07852034 0.07892407 0.8425556 ],neutral,-0.00040373206
"Dr  Reddy's launches generic Concerta in U S ,?",[0.13721181 0.02170863 0.8410796 ],neutral,0.11550318
"Novavax higher after positive early data on COVID-19 vaccine candidate,?",[0.90118784 0.07437885 0.02443337],positive,0.826809
"""Sanofi/GSK initiate Phase 1/2 COVID-19 trial, first results expected early December"",?",[0.06569541 0.00797095 0.92633367],neutral,0.057724457
"Prepare for coronavirus vaccine as soon as late October - CDC,?",[0.02955941 0.02581156 0.944629  ],neutral,0.0037478488
"""Muddy Waters goes short on Inovio, citing Covid 'hype'"",?",[0.02214979 0.8997175  0.07813262],negative,-0.8775677
"J&amp;J bails on flu candidate pimodivir,?",[0.56382036 0.03351419 0.40266547],positive,0.53030616
"AbbVie under pressure on House Committee subpoena in drug pricing probe,?",[0.03586107 0.875457   0.08868191],negative,-0.8395959
"Arrowhead reports encouraging data on cardiometabolic candidates ARO-APOC3 and ARO-ANG3,?",[0.93171555 0.02303998 0.04524448],positive,0.90867555
"Janssen/Arrowhead RNAi candidate shows positive action in early-stage hepatitis B study,?",[0.5118156  0.03034167 0.4578427 ],positive,0.48147392
"Sanofi plans to start human testing of COVID-19 vaccine - Bloomberg,?",[0.04666162 0.0088614  0.94447696],neutral,0.037800223
"BofA sees Medtronic's building strength as bullish for medtech names,?",[0.71624833 0.01503885 0.26871282],positive,0.7012095
"Coronavirus vaccine makers seek EU liability protections,?",[0.14412242 0.01899662 0.8368809 ],neutral,0.12512581
"""Pfizer booted from DJIA, Amgen replaces"",?",[0.03991183 0.7671187  0.1929695 ],negative,-0.7272069
"Investors in COVID-19 stocks face turmoil in coming weeks on vaccine data readouts,?",[0.01631607 0.9358412  0.04784285],negative,-0.91952515
"Johnson &amp; Johnson draws cheap pricing in $7 5B bond offering for Momenta purchase,?",[0.22185771 0.01607147 0.76207083],neutral,0.20578624
"FDA OKs new use of J&amp;J's Darzalex,?",[0.11723818 0.14809714 0.7346646 ],neutral,-0.030858964
"Updated FDA adverse event data on breast implants show no definitive link to cancer,?",[0.03917206 0.310482   0.6503459 ],neutral,-0.27130994
"J&amp;J planning 60K-subject study to test COVID-19 vaccine,?",[0.04933448 0.03975358 0.9109119 ],neutral,0.009580903
"J&amp;J files for debt offering to fund Momenta buy,?",[0.03724968 0.02653809 0.93621224],neutral,0.010711592
"J&amp;J takeout of Momenta lifts argenx SE,?",[0.063841   0.12228294 0.8138761 ],neutral,-0.058441937
"J&amp;J to acquire Momenta Pharmaceuticals for $6 5B,?",[0.03860038 0.02242567 0.9389739 ],neutral,0.016174713
"CureVac aims to make reasonable profit on COVID-19 vaccine,?",[0.5736945  0.01282572 0.41347978],positive,0.5608688
"Johnson &amp; Johnson closing in on COVID-19 vaccine supply deal in Europe,?",[0.1746178  0.13995415 0.685428  ],neutral,0.034663647
"Moderna supply deal lifts COVID-19 vaccine players,?",[0.81055593 0.07783066 0.11161342],positive,0.73272526
"Russia nod on COVID-19 vaccine a propaganda win for Putin - NYT,?",[0.43382865 0.2235851  0.34258622],positive,0.21024355
"Trump signs executive action to boost U S  production of 'essential' drugs,?",[0.9132695  0.01540009 0.07133038],positive,0.8978694
"J&amp;J inks deal with feds to supply 100M doses of COVID-19 vaccine,?",[0.8151872  0.01472748 0.17008531],positive,0.80045974
"DOJ wants as much as $18 1B from Purdue Pharma for opioid epidemic,?",[0.23233394 0.03076218 0.73690385],neutral,0.20157176
"Zhongchao renews contract with J&amp;J China,?",[0.7604821  0.08359872 0.15591916],positive,0.67688334
"Subcutaneous version of J&amp;J's Darzalex OK'd in Canada,?",[0.03486179 0.08031174 0.8848265 ],neutral,-0.04544995
"J&amp;J's subcutaneous daratumumab on par with IV version in multiple myeloma study,?",[0.5636886  0.03960298 0.39670843],positive,0.5240856
"J&amp;J COVID-19 vaccine candidate shows positive effect in primate study; shares gain premarket,?",[0.9010505  0.04478374 0.05416582],positive,0.85626674
"""JNJ's McEvoy sells 29,000 common shares"",?",[0.05206902 0.02096097 0.92697006],neutral,0.031108048
"Pfizer to seek FDA emergency use nod for COVID-19 vaccine as early as October,?",[0.18674915 0.06179196 0.75145894],neutral,0.12495719
"EU talks to procure COVID-19 supply stalled over financial issues,?",[0.01220901 0.9649254  0.02286559],negative,-0.9527164
"European advisory backs expanded label for J&amp;J's HIV med Prezista,?",[0.6345082  0.01242896 0.35306287],positive,0.62207925
"European advisory groups backs expanded use of Imbruvica,?",[0.6090321  0.04552514 0.3454428 ],positive,0.56350696
"XBiotech in the green on advancement of new anti-inflammatory antibody,?",[0.6996393  0.02636113 0.27399957],positive,0.6732782
"COVID-19 vaccine makers have different plans on pricing,?",[0.03839271 0.02571319 0.93589413],neutral,0.012679525
"Johnson &amp; Johnson declares $1 01 dividend,?",[0.04316049 0.09896281 0.85787666],neutral,-0.055802327
"EU in talks with Moderna and others for COVID-19 vaccine supply,?",[0.17774051 0.01532544 0.80693406],neutral,0.16241507
"J&amp;J gene therapy shows encouraging action in vision loss disorder,?",[0.8461345  0.01587258 0.13799296],positive,0.8302619
"J&amp;J on go with early-stage study of COVID-19 vaccine candidate,?",[0.07873423 0.01566927 0.9055965 ],neutral,0.06306496
"AC Immune up big on advancement of Alzheimer's vaccine study,?",[0.6869768  0.10038472 0.21263851],positive,0.5865921
