sentence,logit,prediction,sentiment_score
"title,
First rolling review of COVID-19 vaccine data underway in Europe,?",[0.10127038 0.00674081 0.8919888 ],neutral,0.09452957
"Phreesia acquires web-based workflow applications,?",[0.14327598 0.00620393 0.8505201 ],neutral,0.13707206
"FDA issues final rule for importation of drugs from abroad,?",[0.15427677 0.01095887 0.83476436],neutral,0.14331791
"All six COVID-19 vaccines in industrial manufacturing - HHS Secretary Azar,?",[0.03194725 0.07600048 0.8920523 ],neutral,-0.044053234
"Stricter FDA standards make COVID-19 vaccine approval unlikely before election day,?",[0.04808173 0.6615122  0.29040617],negative,-0.61343044
"""Vaccinex lead candidate flunks Huntington's study, shares crater 59%"",?",[0.22922811 0.09719853 0.6735734 ],neutral,0.13202958
"Merck's Keytruda improves survival in first-line esophageal cancer study,?",[0.47696438 0.13776457 0.38527104],positive,0.3391998
"Keytruda/Lenvima combo shows positive action in range of cancers,?",[0.6027805  0.02369149 0.37352803],positive,0.57908905
"Merck announces encouraging data on three pipeline candidates at ESMO,?",[0.9041739  0.02312689 0.07269926],positive,0.881047
"Merck 셲 Keytruda delays recurrence and distant metastasis vs  placebo in skin cancer,?",[0.06302406 0.64853203 0.28844395],negative,-0.585508
"""AstraZeneca, Merck Lynparza shows positive action in late-stage prostate cancer study"",?",[0.68090916 0.03354327 0.28554758],positive,0.64736587
"Seeking Alpha Catalyst Watch,?",[0.05278904 0.02536338 0.9218475 ],neutral,0.027425667
"AstraZeneca's Lynparza shows positive effect in BRCA-mutated ovarian cancer,?",[0.646052   0.04785112 0.30609685],positive,0.5982009
"Immutep reports encouraging results from mid-stage TACTI-002 study,?",[0.9398823  0.01807286 0.04204494],positive,0.92180943
"Vaccinex partners with Merck in cancer,?",[0.05740223 0.02481735 0.91778034],neutral,0.032584876
"Exicure's cavrotolimod shows encouraging action in early-stage solid tumor study,?",[0.8120037  0.02224988 0.16574639],positive,0.7897538
"Cancer advances ignite broad biotech and specialized ETF surge,?",[0.4246683  0.01883635 0.55649537],neutral,0.40583196
"Merck Enbrel biosimilar OK'd in Canada for four new uses,?",[0.06008569 0.02838484 0.9115295 ],neutral,0.03170085
"Seattle Genetics teams up with Merck in cancer,?",[0.07469005 0.01913268 0.9061773 ],neutral,0.055557374
"Merck COVID-19 vaccine begins human testing in Belgium study - WSJ,?",[0.03836596 0.05533863 0.9062954 ],neutral,-0.016972668
"AstraZeneca COVID-19 vaccine on track for 2020 filing: Soriot,?",[0.05173551 0.10661171 0.8416528 ],neutral,-0.054876205
"Merck's 15-valent pneumonia vaccine successful in late-stage studies,?",[0.7759123  0.02073781 0.20335   ],positive,0.75517446
"AstraZeneca COVID-19 vaccine study put on hold after adverse reaction,?",[0.02661951 0.7979556  0.1754249 ],negative,-0.7713361
"Drug company chiefs sign pledge backing COVID-19 vaccine safety and efficacy,?",[0.8193724  0.0219725  0.15865509],positive,0.79739994
"Merck's gefapixant successful in late-stage chronic cough studies,?",[0.33461374 0.02530533 0.640081  ],neutral,0.3093084
"""Sanofi/GSK initiate Phase 1/2 COVID-19 trial, first results expected early December"",?",[0.06569541 0.00797095 0.92633367],neutral,0.057724457
"Prepare for coronavirus vaccine as soon as late October - CDC,?",[0.02955941 0.02581155 0.944629  ],neutral,0.0037478544
"""Muddy Waters goes short on Inovio, citing Covid 'hype'"",?",[0.02214979 0.8997175  0.07813262],negative,-0.8775677
"AstraZeneca starts U S  final-stage trial of COVID-19 vaccine,?",[0.14977111 0.07003865 0.78019017],neutral,0.07973246
"Sanofi plans to start human testing of COVID-19 vaccine - Bloomberg,?",[0.04666161 0.0088614  0.94447696],neutral,0.037800208
"Coronavirus vaccine makers seek EU liability protections,?",[0.14412247 0.01899662 0.8368809 ],neutral,0.12512586
"Don 셳 cry for 3 Dow Jones leavers; stocks tend to hold up,?",[0.20465948 0.445213   0.35012752],negative,-0.24055351
"""Pfizer booted from DJIA, Amgen replaces"",?",[0.03991183 0.7671187  0.1929695 ],negative,-0.7272069
"Merck's Keytruda nabs two nods in Japan,?",[0.25571135 0.2658606  0.4784281 ],neutral,-0.0101492405
"Investors in COVID-19 stocks face turmoil in coming weeks on vaccine data readouts,?",[0.01631607 0.9358412  0.04784285],negative,-0.91952515
"Merck's Keytruda extends survival in first-line esophageal cancer,?",[0.65841734 0.04264484 0.2989379 ],positive,0.6157725
"""Merck finds London site for 짙1B research, business hub"",?",[0.12468508 0.0128159  0.86249906],neutral,0.11186918
"Clovis up 20% on rucaparib data in prostate cancer,?",[0.92114663 0.05368267 0.02517072],positive,0.86746395
"WeChat ban challenges Apple's $44B market in China,?",[0.02521687 0.91742486 0.05735825],negative,-0.892208
"Investors bag profits in COVID-19 vaccine players after run-up,?",[0.2715537 0.6375692 0.0908771],negative,-0.3660155
"Russia nod on COVID-19 vaccine a propaganda win for Putin - NYT,?",[0.43382865 0.22358507 0.34258622],positive,0.21024358
"Trump signs executive action to boost U S  production of 'essential' drugs,?",[0.9132695  0.01540008 0.07133035],positive,0.89786947
"Current value of COVID-19 vaccine players overly bullish - Leerink,?",[0.03165428 0.87538695 0.0929588 ],negative,-0.84373266
"Merck in-licenses NASH candidate from Hanmi Pharmaceutical,?",[0.0703757  0.04316401 0.88646036],neutral,0.027211696
"Merck completes diclazuril deal with Elanco,?",[0.27689746 0.03781286 0.6852896 ],neutral,0.2390846
"Merck +3% on Q2 beat; EPS guidance raised above expectations,?",[0.93147945 0.04122052 0.02729994],positive,0.8902589
"""Merck EPS beats by $0 32, beats on revenue"",?",[0.30501252 0.08713823 0.60784924],neutral,0.21787429
"Merck Q2 2020 Earnings Preview,?",[0.071109  0.2582578 0.6706332],neutral,-0.18714881
"FDA accepts Merck applications for expanded uses of Keytruda,?",[0.13049155 0.02329945 0.84620905],neutral,0.10719211
"FDA grants accelerated review to Merck's MK-6482 for rare kidney cancer,?",[0.5119796  0.01896252 0.46905795],positive,0.49301708
"Merck declares $0 61 dividend,?",[0.05620442 0.74999493 0.19380066],negative,-0.6937905
"Lumos rises on sale of its priority voucher rights for $60M,?",[0.89568055 0.0446096  0.05970979],positive,0.85107094
"COVID-19 vaccine makers have different plans on pricing,?",[0.03839271 0.02571319 0.93589413],neutral,0.012679525
"FDA accepts Merck application for heart drug vericiguat under accelerated review,?",[0.2785494  0.04034819 0.6811024 ],neutral,0.23820122
"Nabriva inks Sivextro distribution with Merck,?",[0.03351284 0.02340922 0.94307786],neutral,0.010103622
"Novocure teams up with Merck in lung cancer study,?",[0.23521845 0.01308037 0.7517012 ],neutral,0.22213809
"""Healthcare resilient, but still looking for a breakout moment"",?",[0.5909431  0.05366684 0.3553901 ],positive,0.53727627
"FDA OKs Merck Animal Health one-month chews for fleas and ticks,?",[0.07724098 0.2979685  0.62479055],neutral,-0.22072753
"Merck nabs accelerated review in U S  for Keytruda for second-line cHL,?",[0.09190615 0.06923821 0.8388557 ],neutral,0.022667937
"Merck inks new deal with Zymeworks for up to three antibodies,?",[0.7547362  0.04031535 0.2049485 ],positive,0.71442086
"Moderna completes enrollment in mid-stage study of COVID-19 vaccine,?",[0.61735433 0.02872269 0.35392296],positive,0.58863163
"Bellus Health lead drug flunks chronic cough study,?",[0.03619815 0.11260311 0.85119873],neutral,-0.07640496
"Merck Animal Health completes acquisition of U S  rights to Sentinel brand,?",[0.10169286 0.0166051  0.881702  ],neutral,0.085087754
"Smaller cap COVID-19 vaccine players under pressure on Pfizer data,?",[0.02457161 0.9238917  0.05153666],negative,-0.8993201
"FDA guides on COVID-19 vaccine approval criteria,?",[0.03657035 0.01064005 0.95278955],neutral,0.0259303
"FDA OKs Merck's Keytruda for highly mutating forms of colorectal cancer,?",[0.11470297 0.04271861 0.8425784 ],neutral,0.07198436
"Vaxart +70% after Covid-19 'Warp Speed' designation for its vaccine,?",[0.74679536 0.07597691 0.1772277 ],positive,0.67081845
"U S  debut on horizon for iTeos Therapeutics,?",[0.04321385 0.07660507 0.8801811 ],neutral,-0.033391215
"FDA OKs Merck's Keytruda for treatment-resistant type of skin cancer,?",[0.22923899 0.03643911 0.73432195],neutral,0.19279988
"""COVID-19 Update: NY and NJ impose inbound quarantine, CA and TX cases surge"",?",[0.078922  0.5894921 0.3315859],negative,-0.5105701
"Merck teams up with Yumanity in neurodegenerative diseases,?",[0.1485945  0.01509618 0.8363093 ],neutral,0.13349833
"Dosing underway in BioInvent's combination trial with Merck for solid tumors,?",[0.09900749 0.01446106 0.8865315 ],neutral,0.08454643
"Merck pneumonia vaccine successful in late-stage studies,?",[0.8547918  0.0179393  0.12726885],positive,0.83685255
"Merck's Keytruda OK'd in China for 2nd-line esophageal cancer,?",[0.08070796 0.06021986 0.8590722 ],neutral,0.020488098
"""Merck completes Themis buy, coronavirus vaccine trials on tap"",?",[0.27661967 0.02064763 0.7027327 ],neutral,0.25597206
"Merck prices $4 5B debt offering at par,?",[0.03228409 0.0315703  0.9361456 ],neutral,0.00071378425
"FDA OKs Merck's Keytruda for second application based on biomarker,?",[0.14050007 0.02270183 0.8367981 ],neutral,0.11779824
"Pfizer and Merck's diabetes med Steglatro shows mixed results in cardiovascular outcomes study,?",[0.01775952 0.94439465 0.03784592],negative,-0.92663515
