sentence,logit,prediction,sentiment_score
"title,
Microsoft releases $550 Surface Laptop Go for remote workers and learners,?",[0.07044518 0.01021346 0.9193413 ],neutral,0.060231723
"""Another outage hits Microsoft, Outlook down worldwide"",?",[0.01501151 0.94787174 0.03711676],negative,-0.93286026
"Datadog pops 7 5% after Microsoft Azure strategic partnership,?",[0.6311528  0.23393033 0.1349168 ],positive,0.39722246
"Microsoft blocked 13B malicious emails in 2019; blames update for 365 outage,?",[0.01301847 0.94462645 0.04235511],negative,-0.93160796
"Worlds Inc  files patent infringement against Microsoft,?",[0.01583346 0.9041205  0.08004607],negative,-0.88828707
"Microsoft's Bing wins slots in Google's EU mobile search auction,?",[0.5969001  0.11752299 0.28557685],positive,0.47937712
"BofA names the defensive stocks to consider to ride out fall volatility,?",[0.04058125 0.01823097 0.9411878 ],neutral,0.02235028
"Microsoft launches Azure platform to help telecoms with 5G ramp,?",[0.5514039  0.0153318  0.43326432],positive,0.5360721
"""Amazon launches Luna, its Stadia-like cloud videogaming service"",?",[0.11164606 0.0133924  0.87496156],neutral,0.09825366
"""Microsoft Azure launches services that compete with Twilio, Amazon"",?",[0.43371904 0.01289185 0.5533891 ],neutral,0.42082718
"""AT&amp;T, Microsoft collaborate on streamlining IoT connectivity"",?",[0.5012526  0.01851078 0.48023668],positive,0.4827418
"""Megacaps holding up against major levels, despite weakness: At the Open"",?",[0.761761   0.14869674 0.08954231],positive,0.6130643
"Microsoft 'committed' to bringing game streaming to Apple devices,?",[0.47491422 0.01143994 0.5136458 ],neutral,0.46347427
"T-Mobile adds Microsoft 365 to new small-business plans,?",[0.11613391 0.02303716 0.860829  ],neutral,0.093096755
"Microsoft buying game developer and publisher Bethesda Softworks for $7 5B in cash,?",[0.13573146 0.12045039 0.74381816],neutral,0.015281066
"FAANG reversal and industrial lift may be another signal of renaissance for real economy,?",[0.40390944 0.078513   0.5175775 ],neutral,0.32539645
"Seeking Alpha Catalyst Watch,?",[0.05278904 0.02536338 0.9218475 ],neutral,0.027425667
"""Barclays sees valuations at dot-com bubble levels, cuts megacaps"",?",[0.02340072 0.92828745 0.04831187],negative,-0.9048867
"An antidote for waning tech lurks in materials ETF's biggest winners,?",[0.19482185 0.07915622 0.72602195],neutral,0.11566563
"Sony PlayStation 5 coming Nov  12 at $500; Digital Edition for $400,?",[0.02732838 0.06642813 0.90624344],neutral,-0.039099757
"Microsoft increases dividend by ~10%,?",[0.88374823 0.03759494 0.07865689],positive,0.8461533
"TikTok plans stand-alone global company with Oracle as minority holder - FT,?",[0.02512082 0.01318475 0.96169436],neutral,0.011936072
"Microsoft's game streaming service launches for Android users,?",[0.06353565 0.01836847 0.9180959 ],neutral,0.045167185
"Microsoft teams up with BP to achieve net zero carbon goals and sustainable future,?",[0.90129554 0.01093441 0.08777002],positive,0.89036113
"""Videogame sales accelerate again in August, up 37%"",?",[0.95248795 0.02079221 0.02671981],positive,0.93169576
"White House reviewing Oracle's TikTok bid - Mnuchin,?",[0.0434727  0.17985569 0.7766716 ],neutral,-0.136383
"ByteDance will not sell TikTok's U S  operations to Oracle - CGTN Digital,?",[0.02889002 0.1053622  0.8657478 ],neutral,-0.07647218
"Oracle chosen to acquire TikTok U S  as tech partner (updated),?",[0.06385088 0.0238947  0.9122544 ],neutral,0.039956175
