sentence,logit,prediction,sentiment_score
"title,
Investors' Covid trend expectations laid bare in Q3 analysis of top performers,?",[0.09420487 0.03290966 0.87288547],neutral,0.06129521
"UBS says Nike's digital transition is just getting started,?",[0.1037654  0.01304673 0.88318783],neutral,0.090718664
"Is it the shoes  Online ETF stands out amid Nike's digital new normal,?",[0.61269546 0.02622271 0.3610818 ],positive,0.58647275
"""Nike jump, Amazon rebound lifting discretionary out of doldrums: At the Open"",?",[0.24937844 0.05858627 0.69203526],neutral,0.19079217
"Nike runs to all-time high after FQ1 results dazzle,?",[0.79077244 0.094076   0.11515164],positive,0.69669646
"Nike +8% after earnings smasher; Foot Locker and Under Armour also up,?",[0.88916194 0.07197063 0.03886734],positive,0.8171913
"""Nike EPS beats by $0 47, beats on revenue"",?",[0.17228846 0.03592598 0.79178554],neutral,0.13636248
"Nike Q1 2021 Earnings Preview,?",[0.06930251 0.3903613  0.54033613],neutral,-0.3210588
"UBS picks names to watch/avoid as survey suggests weak sentiment could dampen holiday softlines season,?",[0.02016381 0.9451876  0.03464858],negative,-0.9250238
"Seeking Alpha Catalyst Watch,?",[0.05278901 0.02536337 0.92184764],neutral,0.027425641
"Nike sized up by BTIG ahead of earnings next week,?",[0.3308814  0.41957355 0.2495451 ],negative,-0.08869216
"J P  Morgan weighs names to gain from sporting goods' direct-to-consumer shift,?",[0.57747895 0.0637127  0.3588084 ],positive,0.5137662
"Nike defies doubters with run to new high,?",[0.546455   0.21567175 0.2378732 ],positive,0.33078328
"""Pandemic's back-to-school season could bring record retail spending, CFRA says"",?",[0.67006284 0.04879858 0.2811386 ],positive,0.6212643
"NBA playoffs resuming tomorrow,?",[0.03733008 0.16770613 0.7949638 ],neutral,-0.13037606
"NBA players to resume playoffs - ESPN,?",[0.03528451 0.08803045 0.876685  ],neutral,-0.05274594
"""Visa, BofA, Qualcomm join campaign giving workers time to vote"",?",[0.2973427  0.03577922 0.6668781 ],neutral,0.26156348
"NBA season could be over - Deadline Hollywood,?",[0.04513863 0.49025303 0.4646083 ],negative,-0.4451144
"Wholesale friends of Nike list gets narrower,?",[0.04078775 0.8982711  0.06094118],negative,-0.8574833
"Nike to offer free virtual training with NFL stars as share price outperformance continues,?",[0.793615   0.02290439 0.18348067],positive,0.7707106
"Consumer smallcap ETFs harbor alpha as battle for wallets heats up,?",[0.32681632 0.08074277 0.5924409 ],neutral,0.24607354
"Nike expected to hit long-term targets as tailwinds kick in,?",[0.16088153 0.03490445 0.804214  ],neutral,0.12597708
"Rising fashion brands outpace stalwarts in UBS look at TikTok likes,?",[0.23070401 0.14314844 0.62614757],neutral,0.08755557
"Nike seen as beneficiary of second stimulus round,?",[0.17541747 0.08271048 0.7418721 ],neutral,0.092706986
"""Coatue buys Boeing, adds Disney, cuts Tesla, exits Snap"",?",[0.06891377 0.41389364 0.51719254],neutral,-0.34497988
"UBS softlines check warns of weak back-to-school clothing season,?",[0.03253002 0.90268147 0.06478855],negative,-0.87015146
