sentence,logit,prediction,sentiment_score
"title,
First rolling review of COVID-19 vaccine data underway in Europe,?",[0.10127038 0.00674081 0.8919888 ],neutral,0.09452957
"Pfizer gene therapy Fast Track'd for Duchenne muscular dystrophy,?",[0.09067326 0.07637887 0.83294785],neutral,0.014294393
"Pfizer inks deal with CStone for oncology assets in China; acquires 9 9% stake,?",[0.3370297  0.01286677 0.65010357],neutral,0.32416293
"Lonza confident on production of Moderna COVID-19 vaccine,?",[0.37802064 0.02024812 0.6017312 ],neutral,0.35777253
"FDA approves Pfizer's Xeljanz for polyarticular course juvenile idiopathic arthritis,?",[0.8259215  0.04091274 0.13316578],positive,0.7850087
"Sosei Heptares earns new $5M milestone payment from Pfizer,?",[0.8695252  0.03662413 0.09385061],positive,0.83290106
"FDA issues final rule for importation of drugs from abroad,?",[0.15427679 0.01095887 0.83476436],neutral,0.14331792
"Vaccine news roundup - Cuomo sets up panel for separate NY review,?",[0.09903256 0.04309469 0.8578727 ],neutral,0.055937868
"All six COVID-19 vaccines in industrial manufacturing - HHS Secretary Azar,?",[0.03194725 0.07600048 0.8920523 ],neutral,-0.044053234
"Pfizer declares $0 38 dividend,?",[0.0577802  0.6646676  0.27755213],negative,-0.6068874
"Ideaya and Pfizer to test doublet therapy in certain solid tumors,?",[0.10704497 0.00838041 0.88457465],neutral,0.09866455
"White House may overrule tightening of FDA vaccine rules,?",[0.07975048 0.7080016  0.21224783],negative,-0.62825114
"U K  to host first human challenge studies for COVID-19 vaccines,?",[0.40639737 0.01813265 0.57547   ],neutral,0.38826472
"FDA accepts Pfizer application for expanded use of Xalkori,?",[0.44719508 0.04673783 0.5060671 ],neutral,0.40045726
"Pfizer inks deal with Vivet Therapeutics in liver disorder,?",[0.37124094 0.02994633 0.5988127 ],neutral,0.34129462
"Stricter FDA standards make COVID-19 vaccine approval unlikely before election day,?",[0.04808173 0.6615122  0.29040617],negative,-0.61343044
"""Global vaccine plan gains momentum, U S  not on board"",?",[0.7332809  0.05147352 0.21524563],positive,0.6818074
"Medicare coverage of COVID-19 vaccine not there - WSJ,?",[0.04275547 0.24215992 0.7150847 ],neutral,-0.19940445
"Moderna and Pfizer set different efficacy bars in pivotal COVID-19 trials,?",[0.08906648 0.06104162 0.8498919 ],neutral,0.028024867
"European advisory group backs new use of Pfizer combo antibiotic,?",[0.6188631  0.02481432 0.3563226 ],positive,0.5940488
"European advisory group back Pfizer's Neulasta biosimilar,?",[0.17703576 0.5575265  0.26543772],negative,-0.38049078
"Pfizer's Bavencio shows positive effect in bladder cancer study,?",[0.7960231  0.03747249 0.16650444],positive,0.7585506
"Bristol Myers O+Y shows long-term survival benefit in kidney cancer,?",[0.7980775  0.02290963 0.17901278],positive,0.7751679
"Stability data on Pfizer COVID-19 vaccine support five-day storage at point of use,?",[0.29368874 0.07803321 0.6282781 ],neutral,0.21565554
"European regulators thumbs up on Mylan-Upjohn tie-up,?",[0.73373556 0.03789935 0.22836512],positive,0.6958362
"BioNTech secures   75M in German funding for development of COVID-19 vaccine program,?",[0.92005813 0.0132923  0.06664962],positive,0.9067658
"U S  could get Covid shot before year-end: Pfizer CEO Albert Bourla,?",[0.0808283  0.02677529 0.8923964 ],neutral,0.054053016
"AstraZeneca COVID-19 vaccine trials resume in U K ,?",[0.05922737 0.23042902 0.7103436 ],neutral,-0.17120165
"""Pfizer, BioNTech seek expansion of late-stage Covid vaccine trial"",?",[0.82873565 0.01203142 0.15923294],positive,0.8167042
"COVID-19 vaccine trials ramp up as world awaits efficacy data,?",[0.78056973 0.02780786 0.19162239],positive,0.7527619
"Merck COVID-19 vaccine begins human testing in Belgium study - WSJ,?",[0.03836596 0.05533863 0.9062954 ],neutral,-0.016972668
"AstraZeneca COVID-19 vaccine on track for 2020 filing: Soriot,?",[0.05173551 0.10661171 0.8416528 ],neutral,-0.054876205
"Pfizer/BioNTech COVID-19 vaccine candidate shows encouraging action in preclinical studies,?",[0.8502058  0.01539478 0.1343994 ],positive,0.83481103
"Merck's 15-valent pneumonia vaccine successful in late-stage studies,?",[0.7759123  0.02073781 0.20335   ],positive,0.75517446
"Pfizer/BioNTech to supply 200M COVID-19 vaccine doses to European Union,?",[0.2716061 0.0123837 0.7160102],neutral,0.2592224
"COVID-19 vaccine developers rally on AstraZeneca study pause,?",[0.05098769 0.87685007 0.07216224],negative,-0.8258624
"AstraZeneca COVID-19 vaccine study put on hold after adverse reaction,?",[0.0266195  0.7979557  0.17542484],negative,-0.7713362
"Drug company chiefs sign pledge backing COVID-19 vaccine safety and efficacy,?",[0.81937253 0.0219725  0.15865503],positive,0.79740006
"Pfizer/BioNTech add Germany to large-scale study of COVID-19 vaccine,?",[0.14604633 0.034648   0.8193057 ],neutral,0.111398324
"Trump considers 'decoupling' U S  from China,?",[0.05287402 0.47906968 0.46805623],negative,-0.42619565
"COVID-19 vaccine developers prepare joint pledge on safety - WSJ,?",[0.5249907  0.01249707 0.46251222],positive,0.5124936
"Pfizer announces investor event September 14&amp;15,?",[0.02843766 0.03613583 0.9354266 ],neutral,-0.007698171
"Pfizer to have late-stage data on COVID-19 vaccine next month - CEO,?",[0.03708766 0.06354275 0.8993696 ],neutral,-0.026455093
"Novavax higher after positive early data on COVID-19 vaccine candidate,?",[0.90118784 0.07437885 0.02443337],positive,0.826809
"""Sanofi/GSK initiate Phase 1/2 COVID-19 trial, first results expected early December"",?",[0.06569541 0.00797095 0.92633367],neutral,0.057724457
"Prepare for coronavirus vaccine as soon as late October - CDC,?",[0.02955941 0.02581156 0.944629  ],neutral,0.0037478488
"""Muddy Waters goes short on Inovio, citing Covid 'hype'"",?",[0.02214979 0.8997175  0.07813262],negative,-0.8775677
"AbbVie under pressure on House Committee subpoena in drug pricing probe,?",[0.03586107 0.875457   0.0886819 ],negative,-0.8395959
"AstraZeneca starts U S  final-stage trial of COVID-19 vaccine,?",[0.14977111 0.07003865 0.78019017],neutral,0.07973246
"Original Dow component GE takes a sell-side hit: At the Open,?",[0.10492221 0.35291114 0.5421667 ],neutral,-0.24798894
"Sanofi plans to start human testing of COVID-19 vaccine - Bloomberg,?",[0.04666161 0.0088614  0.94447696],neutral,0.037800208
"Dyne Therapeutics on deck for IPO,?",[0.03709561 0.05663691 0.9062675 ],neutral,-0.019541308
"Coronavirus vaccine makers seek EU liability protections,?",[0.14412247 0.01899662 0.8368809 ],neutral,0.12512586
"Don 셳 cry for 3 Dow Jones leavers; stocks tend to hold up,?",[0.20465948 0.445213   0.35012752],negative,-0.24055351
"""Pfizer booted from DJIA, Amgen replaces"",?",[0.03991183 0.7671187  0.1929695 ],negative,-0.7272069
"Can you get coronavirus a second time  A new study says yes,?",[0.08269166 0.03563042 0.8816779 ],neutral,0.047061242
"""Dow Jones index shakeup: Salesforce, Amgen, Honeywell in; Exxon Mobil, Pfizer, Raytheon out"",?",[0.0504244 0.4564224 0.4931532],neutral,-0.405998
"AstraZeneca up 4% on rumored fast track approval of COVID-19 vaccine in U S ,?",[0.9065768  0.06904956 0.02437353],positive,0.8375273
