sentence,logit,prediction,sentiment_score
"title,
BofA names the defensive stocks to consider to ride out fall volatility,?",[0.0432515  0.00995008 0.9467985 ],neutral,0.033301424
"Visa partnership expands PayPal's Instant Transfer service to global markets,?",[0.9272148  0.0129667  0.05981853],positive,0.9142481
"Visa reports August operating metrics,?",[0.06617551 0.6398653  0.2939592 ],negative,-0.57368976
"""Evercore weighs comparative growth, COVID opportunities for payment networks"",?",[0.50491774 0.01171112 0.48337117],positive,0.49320662
"""Visa, BofA, Qualcomm join campaign giving workers time to vote"",?",[0.29734278 0.03577923 0.666878  ],neutral,0.26156354
"DOJ antitrust unit to shake up operations for better oversight - WSJ,?",[0.05506169 0.7550717  0.1898666 ],negative,-0.70001
"Appaloosa (David Tepper) adds new stakes in AT&amp;T; trims Facebook position,?",[0.05630256 0.7822467  0.16145068],negative,-0.72594416
"Visa prices $500M green bond offering,?",[0.03970537 0.05166361 0.908631  ],neutral,-0.011958245
"KBW dives into what it takes to make these fintech names work,?",[0.14253509 0.01125575 0.8462091 ],neutral,0.13127933
"Visa declares $0 30 dividend,?",[0.07183142 0.57214373 0.35602486],negative,-0.5003123
"""Visa fiscal Q3 payments volume falls 10%, adjusted EPS beats estimate"",?",[0.01050938 0.97235423 0.01713632],negative,-0.96184486
"""Visa EPS beats by $0 02, misses on revenue"",?",[0.21271849 0.41580713 0.37147433],negative,-0.20308864
"Visa Q3 2020 Earnings Preview,?",[0.06035569 0.43838635 0.50125796],neutral,-0.37803066
"Visa declares $0 30 dividend,?",[0.0718314 0.5721437 0.3560249],negative,-0.50031227
"""Goldman adds Mastercard, Fiserv to conviction list in new payments coverage"",?",[0.280387   0.01220449 0.7074085 ],neutral,0.26818252
"""AmEx, Discover, Mastercard, Visa expand Click to Pay"",?",[0.03049276 0.08003102 0.8894762 ],neutral,-0.049538262
"""Visa, Mastercard reassess Wirecard ties - Bloomberg"",?",[0.05562964 0.06486796 0.8795024 ],neutral,-0.009238318
"Visa and Terrapay partner to drive real-time payments interoperability,?",[0.7875257  0.00694627 0.20552799],positive,0.78057945
"Visa launches identity score tool to help prevent account fraud,?",[0.57781816 0.0246766  0.39750525],positive,0.55314153
"""Visa, CPI launch upcycled credit card"",?",[0.15440878 0.01571777 0.82987344],neutral,0.13869101
"Visa helps launch payments on WhatsApp in Brazil,?",[0.61249727 0.01896613 0.3685366 ],positive,0.59353113
"American Express lands green light in China,?",[0.3615741  0.04465332 0.5937726 ],neutral,0.3169208
"""Consumer spending improves, but doesn't rise, in May: Mastercard"",?",[0.91037506 0.03867987 0.05094512],positive,0.87169516
