Company,Date,mean,pos,neg,neu
ALPHABET,2017-09-01,0.03623125,15.0,8.0,73.0
ALPHABET,2017-10-01,0.07561521739130436,21.0,10.0,61.0
ALPHABET,2017-11-01,0.005835789473684215,17.0,16.0,62.0
ALPHABET,2017-12-01,0.041671875000000004,23.0,11.0,62.0
ALPHABET,2018-01-01,0.10640625000000004,26.0,8.0,62.0
ALPHABET,2018-02-01,0.015604347826086957,16.0,13.0,63.0
ALPHABET,2018-03-01,0.0945329787234043,27.0,7.0,60.0
ALPHABET,2018-04-01,0.048526315789473695,21.0,13.0,61.0
ALPHABET,2018-05-01,0.111956,30.0,7.0,63.0
ALPHABET,2018-06-01,0.07598494623655912,23.0,10.0,60.0
ALPHABET,2018-07-01,0.07028020833333333,22.0,9.0,65.0
ALPHABET,2018-08-01,0.05604897959183673,24.0,12.0,62.0
ALPHABET,2018-09-01,0.04066511627906976,21.0,10.0,55.0
ALPHABET,2018-10-01,0.010057731958762889,20.0,20.0,57.0
ALPHABET,2018-11-01,0.02549393939393939,27.0,20.0,52.0
ALPHABET,2018-12-01,0.023946874999999996,13.0,8.0,75.0
ALPHABET,2019-01-01,0.09221368421052636,23.0,7.0,65.0
ALPHABET,2019-02-01,0.06032680412371135,24.0,11.0,62.0
ALPHABET,2019-03-01,0.06524148936170214,24.0,9.0,61.0
ALPHABET,2019-04-01,0.0368618556701031,21.0,14.0,62.0
ALPHABET,2019-05-01,0.07044747474747477,25.0,13.0,61.0
ALPHABET,2019-06-01,-0.0156173469387755,20.0,22.0,56.0
ALPHABET,2019-07-01,0.11997040816326532,32.0,9.0,57.0
ALPHABET,2019-08-01,-0.007007070707070705,18.0,20.0,61.0
ALPHABET,2019-09-01,0.09010388349514563,26.0,7.0,70.0
ALPHABET,2019-10-01,0.04982371134020621,29.0,18.0,50.0
ALPHABET,2019-11-01,-0.019816494845360827,13.0,16.0,68.0
ALPHABET,2019-12-01,0.048080000000000005,17.0,6.0,72.0
ALPHABET,2020-01-01,0.06845851063829787,23.0,12.0,59.0
ALPHABET,2020-02-01,0.025189999999999997,18.0,12.0,70.0
ALPHABET,2020-03-01,0.08388247422680414,34.0,17.0,46.0
ALPHABET,2020-04-01,0.06797127659574467,26.0,10.0,58.0
ALPHABET,2020-05-01,0.05503020833333335,22.0,11.0,63.0
ALPHABET,2020-06-01,0.06036746987951809,24.0,18.0,41.0
ALPHABET,2020-07-01,0.09079489795918369,29.0,12.0,57.0
ALPHABET,2020-08-01,0.04974536082474227,17.0,7.0,73.0
ALPHABET,2020-09-01,0.016368888888888888,22.0,18.0,50.0
AMAZON,2017-09-01,0.19828936170212766,13.0,5.0,29.0
AMAZON,2017-10-01,0.16757628865979401,51.0,20.0,123.0
AMAZON,2017-11-01,0.114843085106383,55.0,35.0,98.0
AMAZON,2017-12-01,0.15074736842105246,30.0,12.0,53.0
AMAZON,2018-01-01,0.18002991071428598,71.0,21.0,132.0
AMAZON,2018-02-01,0.1183012345679012,14.0,10.0,57.0
AMAZON,2018-03-01,0.18347849462365579,28.0,11.0,54.0
AMAZON,2018-04-01,0.09261397849462366,26.0,22.0,45.0
AMAZON,2018-05-01,0.13450736842105257,31.0,15.0,49.0
AMAZON,2018-06-01,0.178777659574468,30.0,12.0,52.0
AMAZON,2018-07-01,0.1935847826086957,30.0,11.0,51.0
