,Cnsmr,Manuf,HiTec,Hlth,Other
GS10,0.10003344808732065,0.000663664825227661,0.007707313964138404,0.0038042560612631927,0.0007522578015515661
UMCSENTx,0.05573599354293991,0.05256045917209831,0.06824313811260616,0.10559165828514343,0.08833460638067184
COMPAPFFx,0.05456537933074632,0.06225394870647957,0.02759875334310685,0.0314102152807285,0.10723782289733487
VXOCLSx,0.04906294886698827,0.02505511897557583,0.10804395828989587,0.03231197666262122,0.037008975896023144
PERMIT,0.0392013588846485,0.045864917859325186,0.011950439343000998,0.0005351592865052423,0.025197242174597848
UEMP5TO14,0.038640231203256256,0.0060307982431096075,0.02358833558179253,0.00016267025213325374,0.00758200150060213
WPSFD49207,0.03268148161736378,0.006520474760510065,0.004417770940123532,0.0,0.0035135982824406353
CUSR0000SAC,0.0324897333261887,0.038329808603717264,0.013439162883579296,0.012617265283749162,0.006053891712381736
S&P div yield,0.030163478047587188,0.050940964739644316,0.03896554068846761,0.017231447064813697,0.03318342293796219
EXCAUSx,0.02955416731815218,0.017815075410734266,0.041906171897116706,0.021443009936849666,0.031404423086974824
IPB51222S,0.02931934007643419,0.017667118634345513,0.006755426250736096,0.07195366413723797,0.02162306822104496
WPSID62,0.025226439509086013,0.021823020750277304,0.010980674857624328,0.10616233705718854,0.006052027652019283
PERMITS,0.024492772475025643,0.028030569114232098,0.05388510131179276,0.009683882124217492,0.0098976089173928
CLF16OV,0.0178032486983873,0.011524777269501811,0.01083094661816882,0.0033319541922571965,0.014237108206550482
UEMPMEAN,0.01759728385590685,0.00470952532324027,0.053203588949306525,0.0006167216853209513,0.010635565308210358
OILPRICEx,0.01685508374818635,0.0,0.007856525987203164,0.0055635397200643685,0.006820978372202577
AMDMNOx,0.01612945536499337,0.0003474046428082959,0.012753521945204406,0.009269478792058118,0.00974379756657776
UNRATE,0.014325327388831442,0.001348722701280425,0.0010735503798213173,0.011105905351221588,0.0020096569834189303
TWEXAFEGSMTHx,0.014249187828664465,0.00023533429225231612,0.009125470457170331,0.011684009006946392,0.00677546638751657
USFIRE,0.014048394559780018,0.055000928477404946,0.0055240797685884285,0.004187394898872511,0.037889611432365265
CLAIMSx,0.013326761036234648,0.052275284834019116,0.0031285888532692086,0.015156768686284948,0.028143473055607823
PERMITW,0.013310070729091864,0.011690639644240228,0.006524359202883851,0.03304736634156242,0.00022683738785046005
S&P PE ratio,0.013095542735210939,0.01982921429753854,0.02609289270268186,0.0014068174777372463,0.014952816112763277
CUSR0000SAS,0.012010582137565255,0.008257641367569025,0.0020476379142758618,0.004176135445793633,0.008775310764298496
UEMP15OV,0.010965321521028887,0.02778208855556491,0.007750427435266366,0.006215535708825178,0.010572810635147098
DTCTHFNM,0.010711260852698423,0.0025664172512637473,0.010177446876709866,0.013612879285043523,0.009580112941969877
HWI,0.010449615605579655,0.0014879132821005781,0.0009784813325105718,0.006669919410508336,0.0004945838430271167
HOUSTNE,0.00995981103500266,0.007720712305917438,0.011385406177209342,0.007237042205129246,0.007761678504280847
W875RX1,0.009752565279132496,0.0017286561405122057,0.008397737745381975,0.0005331532419592077,0.0010542526765606156
HOUSTW,0.009551116997350655,0.024486214520299376,0.011867165764172804,0.038341997343061464,0.003709493409929759
HOUSTS,0.008963466231499162,0.01350174217489087,0.01955212533925707,0.004651370868947298,0.007251315313912607
TB6SMFFM,0.008895236742610554,0.00021398888491814717,0.0025265405801038004,0.0006518979372633492,0.003922935144216475
DMANEMP,0.00862198982311995,0.004097478690859617,0.006756708517260984,0.008312314738280353,0.0040437691902249955
NONBORRES,0.008148398625668908,0.006856409270844311,0.005969567982322201,0.0004225902364214235,0.0033081213583267895
S&P: indust,0.00788808646137514,0.0006739656957824616,0.00010609155777517738,0.0015542731277733667,0.0016842466408637444
T10YFFM,0.007236307307513363,0.005837442285888948,0.0027435726767688503,6.709454368135833e-05,0.001801792348544517
