index,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
HOUSTMW,0.11416604169512456,0.0036397342744976906,0.014615666941533711,0.006685129690357061,0.008204233609749116,0.01886714708668641,0.01173118190330344,0.00530443699727224,0.005735191271025651,0.012052323400339014,0.017308671378223898,0.0022104611043413684,0.03894714395525043,0.017159286377057877,0.017327218299885216
WPSID62,0.10755470868509762,0.042208011985022574,0.012321305262503541,0.0035301272928925723,0.006545465388880276,0.0037417762685305403,0.0016683413567201908,0.02318072326132162,0.01768834452937977,0.056769079246935424,0.01634330043336775,0.005586011264632794,0.0023738901817202196,0.002212106647746552,0.026871323299619124
WPSFD49207,0.05208778969159556,0.00034757945784692513,0.0078626651487507,0.0037952187744553544,0.0034310015069408785,0.02661175281057571,0.0001225100342200692,0.016728600405876804,0.0027064383953571097,0.009429974436446794,0.00029281809588823754,0.0032984219437745014,0.0014382075734247959,0.0013165722332124992,0.005309215347662803
AMDMNOx,0.04498444549300273,0.045807234778009846,0.029229647168608573,0.0,0.008389761070806351,0.005411853484382138,0.001982994279025216,0.017745395891586104,0.003093252614098879,0.06839759972063998,0.0035937420198119963,0.03671342320914071,0.00964385567867717,0.0034314078219944387,0.013906083423369226
AAA,0.026982941197449276,0.007998061472316704,0.05775322024454452,0.025335884688524643,0.007653069582392905,0.0022461742111993793,0.01363615633271147,0.000718753209087298,0.0016826108003826707,0.0018221893508027771,0.044177707845920816,0.002559172314682119,0.00401911236358488,0.0007060853432537495,0.004828300130176662
CLF16OV,0.023148398196871613,0.01035550609956578,0.0024034244358321615,0.006488768352655554,0.00011010725432575637,0.00776166262748981,0.013925815170414996,0.011506195955955523,0.0021910431242559585,0.01662981028559791,0.018558843651252425,0.024159946854431836,0.008898740630014224,0.0003268676246880703,0.0
IPNMAT,0.021541259757688627,0.004701043920394233,0.035948036830147266,0.004624748999797158,0.0038310027153716894,0.0070904796333035695,0.01530426577450382,0.012674678809252299,0.04341849906072817,0.00016521434313084918,0.003256544939360229,0.001463457716025287,0.01059305703474057,0.0012537747840719667,0.019148521658202182
UEMP15OV,0.018829337978771087,0.004367388258321151,0.002356405819734809,0.014418750395572296,0.0010955732508002515,0.010189957032822784,0.040796007369868895,0.010150981445919879,0.01838379446905858,0.004490639763901266,0.007414212779346345,0.005571045350493996,0.02255450027073147,0.0,0.014802282988301238
HOUSTS,0.01870864874420851,0.005221055239928813,0.0056183158054007665,0.013478217788890962,0.0010940062020745273,0.008955585537685684,0.017359845875106,0.01197860703883278,0.0006090416677656243,0.017577078090035624,0.009142494630952794,0.02885208775256419,0.004611985990352415,0.006883919466134702,0.00859200097972203
IPMAT,0.017327164684373224,0.004919181893255947,0.007135079881616161,0.004178102789363033,0.002066715115680767,0.002337472009344316,0.01347872078900641,0.005244235630416452,0.0070092417110439965,0.002728888223613631,0.00023227417570383923,0.0,0.0029535638157731927,0.003490806955293534,0.013485682273554673
