,Cnsmr,Manuf,HiTec,Hlth,Other
WPSID62,0.0843419059708244,0.09047127903095943,0.022507190153063093,0.07176503084029046,0.041500764917942724
GS10,0.07735252493962853,0.00042842983931405746,0.002480317343048454,0.002877358875232716,0.002562053954354148
S&P div yield,0.06631189382809896,0.08233396414635452,0.020031304955481888,0.025637474325777745,0.07862280282692537
UMCSENTx,0.06001199876865613,0.02865986959568894,0.05351533819997581,0.11450964096213473,0.09478881783495936
VXOCLSx,0.05755865367518489,0.013314502109438124,0.13699402233443128,0.03963145080669151,0.02578689880055531
AMDMNOx,0.03961856071962495,0.003763509967081036,0.053704895223340515,0.014246794464077572,0.028106727356566653
S&P PE ratio,0.03525357899278232,0.01750363028407302,0.056741958766378164,0.004110580188590691,0.05235483706781216
IPDCONGD,0.03413555861977335,0.027886854088918965,0.06153130513879561,0.02830542738945366,0.05162657584101832
REALLN,0.030559772010677923,0.00020782968548853627,0.0021892312574400426,0.0003973449012490226,0.0014524902402101197
EXCAUSx,0.02797775674968461,0.011824732336212593,0.015299486259817979,0.018361668873618498,0.009468270790801562
USWTRADE,0.02576490209074739,8.724033349358972e-05,0.013892627534201419,0.0007959321300975411,0.0005116274596596792
COMPAPFFx,0.02069301979566523,0.02403667646278286,0.018549543793534636,0.012591252094762907,0.011231761997157466
UEMPLT5,0.01848899590719512,0.0034432084088214443,0.009540054023424796,0.005180112807234071,0.0021434322255538658
CUSR0000SAS,0.01771101540461224,0.0002877828454682792,0.010562855436654412,0.0030549627862285766,0.006303868004439833
UEMP15T26,0.017292411129314223,0.02915597802260762,0.017878875561795574,0.023071529808253843,0.010466924914247673
CLAIMSx,0.016633205443438603,0.016421581279743525,0.010362263230697479,0.010536131702711544,0.008851845244700745
EXSZUSx,0.0159796389200224,0.004741380644685692,0.015700620049888796,0.0011966172064060477,0.0069774446265446636
IPB51222S,0.014619583442193449,0.03949659841704347,0.005978997972068726,0.07169229220540553,0.010057864253009773
CES1021000001,0.014047694839019506,0.019447442530929032,0.016506654967890874,5.72512723976677e-05,0.02130443819511011
UEMPMEAN,0.01352042121211537,0.002185323558404077,0.04818565919392232,0.0022868157926260167,0.011499824570561616
PERMIT,0.012076250884725142,0.007792664746770074,0.008548210824197426,0.015104335662504725,0.0016626183161740707
TWEXAFEGSMTHx,0.011296272509465877,0.03602075990438654,0.016114082477361413,0.021037749184442286,0.015288328045255348
USFIRE,0.011018330773945541,0.08415197879075874,0.01289123058267269,0.0029820206702831004,0.06935085392904022
HOUSTMW,0.010634998136125819,0.005106388703328019,0.01843930714100184,0.02237952267987899,0.014971692099761534
EXJPUSx,0.009873650205549705,0.004683089161969394,0.008959273753617877,0.008786924174698157,0.005153797448720401
CUSR0000SAC,0.009505381202175098,0.006798586011919355,0.004020503578054173,0.005557963543448896,0.0013529050954675002
HOUSTW,0.0091350180975367,0.011218294985400732,0.00925374060855577,0.01968477701414334,0.00435014050871007
PERMITS,0.008436142888263578,0.01583133181154181,0.002736552668696846,0.014825693994019113,0.0026347507758345133
HOUSTNE,0.008225598297076739,0.008728992882427488,0.02056560572149961,0.02666702988792364,0.009076342453083253
USGOVT,0.008061887750760322,0.06296941504721337,0.011067992488427119,0.0013545337134794502,0.06360242234777352
PERMITNE,0.007550866518590774,0.008319733933614045,0.003452330786931097,0.002840744462327688,0.007736191666327663
UEMP5TO14,0.007451554305121131,0.006905077563686294,0.021950303022549727,0.00283683083293265,0.003641951562652897
UEMP15OV,0.007201968527292011,0.014119164320909688,0.0033214079298583997,0.005818845351953496,0.02244335878415269
CP3Mx,0.0069022732092794215,0.00097790906527899,0.0031276329085473155,0.001802120749989834,0.003742166316407447
HOUSTS,0.006421918168162563,0.012574728947782434,0.010188974893569205,0.013699415379350948,0.007786052755131385
W875RX1,0.006254519315607103,0.006144058227483885,0.0053949357463903645,0.003111634238348652,0.005006556579777792
PERMITMW,0.005936107914168351,0.003418813670418969,0.005299209133394337,0.02525832055712919,0.006354581194827283
BOGMBASE,0.005413081269110665,0.0007021470804910219,0.0006222593828730183,0.0022649898473400686,0.0018315627560959757
BUSLOANS,0.005365502190586917,0.002344994464442124,0.004408742913526447,0.0014812115017389471,0.0008200902410224898
ISRATIOx,0.004915023087365156,0.011806559214108227,0.0012363134064197492,0.0020136489965990436,0.005801913326491885
