index,AMZN,WMT,NVDA,TSLA,PG,NKE,AAPL,JNJ,GOOGL,MSFT,PFE,BRK-A,FB,MRK,V
WPSID62,0.07473036487160993,0.03196640136865163,0.020247201997016143,0.0014829999792901323,0.0022064416566555264,0.004410349167390082,0.014305123727327375,0.02202939970668544,0.03150610367444412,0.05888338003626035,0.011878845360557982,0.006054221130875336,0.007452721903445121,0.0005153097788230875,0.031696337374417044
HOUSTMW,0.06412520384388241,0.016747234105564553,0.03492892663479132,0.015312565796227131,0.008515841005560592,0.007095244449560234,0.050295368386902926,0.011447809715761845,0.03075121051562103,0.009831390770290205,0.027105306456261736,0.010505991228485119,0.023309000558474097,0.007306396795638831,0.02002315159893776
AMDMNOx,0.06367666668844146,0.06420413087285823,0.03576225807289053,0.0004548718929131109,0.0068649632490510645,0.0119160498419584,0.009115392965371817,0.014986964358152652,0.015150265018494346,0.04174767428485853,0.004403967440987777,0.05197763038199124,0.01762598559181933,0.01515155469473108,0.011978247581473513
CE16OV,0.03163516044609398,0.008935037811854769,0.0032631708668209285,0.018225152507823958,0.0006955929198733786,0.0021113039624998378,0.006702449304638356,0.006457285545905673,0.000644021395619949,0.003648544680732363,0.003536867876697365,0.0014073006049358297,0.007603051118333224,0.0005516609673392989,0.0011534761042091466
WPSFD49207,0.0296817824642037,0.0010752929151839742,0.0007934477929940896,0.004361370308645037,0.001155789807564339,0.02291044232704088,0.0036202113553270797,0.016319047006560526,0.006974092651187882,0.011734921429555727,0.004456927149759923,0.000442434932701389,0.004519026978964857,0.003364643992169617,0.001823491722918294
CPITRNSL,0.029329642360457903,0.007693828623764858,0.018028617236992193,0.004810480218416537,0.0047019940267212425,0.00701480116109997,0.022910605388871526,0.01057561094672399,0.004831180999513638,0.014997700085139409,0.0023460986221831475,0.004098158354684103,0.0006863642373873209,0.009378281504303374,0.0002832755277768641
CMRMTSPLx,0.02560603823345486,0.0005605105579227198,0.007930804187386335,0.004885837038902098,0.005369408671781766,0.0013854619692857972,0.0017507968288251981,0.0036373884068898895,0.016417933195723208,0.0031495992868695107,0.006783322759544359,0.0026433002589921393,0.0055672354013149225,0.0025663499434048502,0.0053926718750526145
TWEXAFEGSMTHx,0.02428311321778531,0.0270892096319907,0.005082269602192382,0.0017204907804792408,0.024093944733799444,0.00743999334426435,0.010446470269998271,0.03000273604360121,0.011577466463258516,0.01121951144981914,0.01334516278448193,0.016102814207831887,0.008224240044472824,0.014314608694120672,0.022799499374817973
IPFUELS,0.023865834809185485,0.004374821285326988,0.03481215293157952,0.0019511623416910847,0.0010770937335685441,0.0074794824255697955,0.008539615180259995,0.0055532099709460665,0.0015229380527685026,0.001843718558425667,0.0045868077604595495,0.004137634212442536,0.017220008627976326,0.0029965219828253595,0.0021780374298198337
ANDENOx,0.022273296730314907,0.003441331633176114,0.007339445914764,0.048821462801412835,0.0034822074294035654,0.010292063794049544,0.011311556267226233,0.01460015129454621,0.014938363219410273,0.003053565979389783,0.014375726324028393,0.005844849901468013,0.005342156792015138,0.0013310319382620094,0.0038333297711502694
DNDGRG3M086SBEA,0.020666701802042876,0.004765892580258235,0.005171776279887322,0.025506685659661927,0.0006225783894595548,0.03135759996134393,0.0030638642896784556,0.015975525775498906,0.008492540855710043,0.005284131152433596,0.00210265468592156,0.014562328208273438,0.07883366716966451,0.009939873088123713,0.00305827115168892
IPB51222S,0.017931723375478846,0.03414245182054627,0.040324428370090246,0.054316910871506974,0.06283190380788235,0.04716129784671664,0.016439856690323253,0.009413253481605589,0.031736730264100024,0.017270689507871792,0.022465087905168987,0.029156336068511587,0.025725053475705643,0.1555805720069303,0.024569758970647945
PERMITS,0.01747217732438856,0.017681108045647747,0.005477729071021218,0.0056787976331059645,0.02016041004921917,0.013438408274336743,0.016718438316444022,0.0018872847247888946,0.00471940033143066,0.008752427559088512,0.007235205233176614,0.0059642985351461624,0.006800596869507173,0.002277815549610404,0.0020158365089335156
CONSPI,0.017231993788180876,0.01910550391620761,0.0005733063474880673,0.004850199072970773,0.00046881060495505,0.013529940889164684,0.005901321824199118,0.005145875762389694,0.027209570416441745,0.001508330893943253,0.02568378704552228,0.0029560258230104035,0.0013950190315049013,0.0041568302332169295,0.019057396668101415
UEMP15OV,0.016835522921541068,0.0037457678299041277,0.005013924715698503,0.014657013234252081,0.002817163682175203,0.006161814387459758,0.0017793206663267993,0.0006484163525571083,0.01280989252619105,0.0017002256433768085,0.0141232859101039,0.01842877980957162,0.009144307271312734,0.0005891960558600033,0.010873662121061757
HOUSTW,0.01676663751731825,0.007821548248000375,0.01384432034932968,0.0010392913475963988,0.023612077583470347,0.006471132243658397,0.015032496736200092,0.10947055047185944,0.003164248877468164,0.04486412746891246,0.021222165206687297,0.006600220184705514,0.015522137947907175,0.020473145140623216,0.003828845262845554
AMDMUOx,0.015757400588083302,0.0007003774785780725,0.007550291640153365,0.007704788282385202,0.001914709898307963,0.006169065026672841,0.0032616165836373747,0.004749235752006048,0.0004731591839429982,0.006160546667933884,0.009152050676647367,0.005574716821408975,0.0023437526027429976,0.0028981325291138334,0.003028064911979354
HOUSTS,0.01451788064695885,0.007106793059930284,0.0033421247189268206,0.002370842318080782,0.007766565203346097,0.014295109941621446,0.0061721826400982175,0.00412202756824886,0.003951359173226013,0.016158090138863244,0.009514279346124536,0.0069006016005286035,0.002517651450611244,0.005093154090609426,0.00489859844132949
IPDCONGD,0.01441876643855897,0.023800629601173,0.004249071606697134,0.007786663655124755,0.022586601658230333,0.03007987086583281,0.13617633074586385,0.0707263828618507,0.06131091197538728,0.053024955246902074,0.004411743434470498,0.017257270568863062,0.04586397054526663,0.01642519624293353,0.06702091558774406
USGOVT,0.014162595300661128,0.0007953220894642512,0.007534635493517842,0.003446595839801708,0.0014427674833249677,0.0003484928514901275,0.0009894094207611112,0.0005371140609627629,0.014526045709123234,0.0019627253187205844,0.0013421661093968487,0.026642782958942075,0.0007818497408693989,0.0004533916236061788,0.053211897452090075
UEMP15T26,0.014143371872502643,0.009676839308473656,0.00830911390258421,0.010827444639184424,0.011453450395676362,0.024189344082373263,0.029706176093587673,0.002865935864147962,0.08691591941118687,0.028544296539486667,0.013722457637768859,0.03123272896016417,0.016418370036077684,0.0041917593287754094,0.05204579806760408
UMCSENTx,0.013116112204589338,0.05523845268501123,0.01908954758397538,0.011814802217962165,0.13106291217962593,0.023896062001301545,0.023844211927894134,0.00809361777290576,0.052335147440676966,0.049915378985776464,0.028794844313696662,0.06707303230930457,0.01623128604889967,0.16679440659327266,0.015512003939503369
CLF16OV,0.012651757697949944,0.0028507455872604573,0.002714560456534846,0.005717761003504666,0.0028956290399691485,0.015919110726892362,0.0038572044721157358,0.0005184816752558635,0.001949444095736961,0.0018050899341786348,0.013896899096081423,0.0010426702445832815,0.0055481259581781186,0.0023474005135079323,0.0003727831698129701
TB6SMFFM,0.012016147467409375,0.005276116248115444,0.0037912334734958135,0.0004079119012670106,0.004838334318395316,0.010811367937820431,0.002211502233370197,0.004197307792590973,0.005113519531023594,0.005514752948313198,0.001216254065753036,0.0068323316054101375,0.005761457411356899,0.0017467955299929664,0.00035175381130699663
S&P div yield,0.011817108901506855,0.00601253098335613,0.018814272489153912,0.01310930188764854,0.009070606385073088,0.007025761655061775,0.004090379734629047,0.006126145968164947,0.010869729170497397,0.0078700053117035,0.005572345611342577,0.024502757169760195,0.024396192989432804,0.016172294259106896,0.046733447874804906
CUSR0000SAC,0.011558445116396122,0.00207689579856414,0.001488461482742213,0.012720076704657893,0.0025301689563532823,0.010360058138062518,0.0019233133708491188,0.013913797645171467,0.005315284890953494,0.005332821182280242,0.004660073321236313,0.0031510203117474595,0.010222038882969211,0.014025824959978745,0.0030840486179553794
HOUST,0.010682875120951429,0.010214603636732527,0.007951733095837014,0.004917134996809125,0.009913504166124153,0.004760403132382462,0.000533144709327629,0.007886581117001412,0.001053452521116296,0.002948145411410831,0.0021399207821236692,0.0018000529460220932,0.0025670103199620696,0.0015009181137639132,0.0073572172840222945
WPSFD49502,0.010632024365381765,0.0012094569524884972,0.0002847541416687511,0.007712840315328654,0.0011482494312342083,0.017810180101931496,0.0009807135621028745,0.003245013806540763,0.0013522418702773989,0.033480659599376385,0.0013399561239834242,0.0010921670037396802,0.0008934297509553298,0.0016576753874404653,0.000964485062192075
HOUSTNE,0.010462988277340103,0.01073238212735791,0.010510640758512855,0.004740117757176636,0.0058706445154684496,0.02565523556463706,0.004018491627748566,0.003750398500873577,0.015946372794467673,0.016277081732779503,0.015123122635052383,0.002755487307665738,0.007868632232651959,0.044468837337427056,0.06474410458969712
IPFPNSS,0.010384726691394808,0.0036519983580814977,0.055389310394400884,0.002543685330805718,0.0042371604600613295,0.003895439171398223,0.0014713607104734467,0.005831638521036515,0.007466209789760061,0.015980210320500815,0.0008074221805162384,0.0006909832223820345,0.0016332704588552845,0.004482048722566126,0.0036805476676188475
EXCAUSx,0.010037415563822528,0.008167886922027927,0.018346979729735455,0.00993337960177539,0.11775716892410275,0.011992619212531492,0.006323237037483376,0.016841752137060365,0.008106107398889234,0.012480458753153565,0.013392182379793383,0.024799393812561726,0.0059272949421087994,0.020999474233488923,0.009822803445929206
BAAFFM,0.009800520577987734,0.0004943406428824458,0.0020904778813070697,0.0023858439618980967,0.002009552700234787,0.0019217542102215961,0.009773125644986955,0.015412253408741007,0.0031387430995991794,0.005272636486119381,0.021774523626622067,0.0011407475020659477,0.003038079860126986,0.0035818228585457745,0.0031188642772667415
