Company,Date,mean,pos,neg,neu
GOOGL,2017-09-01,0.03623125,15,8,73
GOOGL,2017-10-01,0.075615217,21,10,61
GOOGL,2017-11-01,0.005835789,17,16,62
GOOGL,2017-12-01,0.041671875,23,11,62
GOOGL,2018-01-01,0.10640625,26,8,62
GOOGL,2018-02-01,0.015604348,16,13,63
GOOGL,2018-03-01,0.094532979,27,7,60
GOOGL,2018-04-01,0.048526316,21,13,61
GOOGL,2018-05-01,0.111956,30,7,63
GOOGL,2018-06-01,0.075984946,23,10,60
GOOGL,2018-07-01,0.070280208,22,9,65
GOOGL,2018-08-01,0.05604898,24,12,62
GOOGL,2018-09-01,0.040665116,21,10,55
GOOGL,2018-10-01,0.010057732,20,20,57
GOOGL,2018-11-01,0.025493939,27,20,52
GOOGL,2018-12-01,0.023946875,13,8,75
GOOGL,2019-01-01,0.092213684,23,7,65
GOOGL,2019-02-01,0.060326804,24,11,62
GOOGL,2019-03-01,0.065241489,24,9,61
GOOGL,2019-04-01,0.036861856,21,14,62
GOOGL,2019-05-01,0.070447475,25,13,61
GOOGL,2019-06-01,-0.015617347,20,22,56
GOOGL,2019-07-01,0.119970408,32,9,57
GOOGL,2019-08-01,-0.007007071,18,20,61
GOOGL,2019-09-01,0.090103883,26,7,70
GOOGL,2019-10-01,0.049823711,29,18,50
GOOGL,2019-11-01,-0.019816495,13,16,68
GOOGL,2019-12-01,0.04808,17,6,72
GOOGL,2020-01-01,0.068458511,23,12,59
GOOGL,2020-02-01,0.02519,18,12,70
GOOGL,2020-03-01,0.083882474,34,17,46
GOOGL,2020-04-01,0.067971277,26,10,58
GOOGL,2020-05-01,0.055030208,22,11,63
GOOGL,2020-06-01,0.06036747,24,18,41
GOOGL,2020-07-01,0.090794898,29,12,57
GOOGL,2020-08-01,0.049745361,17,7,73
GOOGL,2020-09-01,0.016368889,22,18,50
AMZN,2017-09-01,0.198289362,13,5,29
AMZN,2017-10-01,0.167576289,51,20,123
AMZN,2017-11-01,0.114843085,55,35,98
AMZN,2017-12-01,0.150747368,30,12,53
AMZN,2018-01-01,0.180029911,71,21,132
AMZN,2018-02-01,0.118301235,14,10,57
AMZN,2018-03-01,0.183478495,28,11,54
AMZN,2018-04-01,0.092613978,26,22,45
AMZN,2018-05-01,0.134507368,31,15,49
AMZN,2018-06-01,0.17877766,30,12,52
AMZN,2018-07-01,0.193584783,30,11,51
AMZN,2018-08-01,0.225297959,35,5,58
AMZN,2018-09-01,0.203763158,34,6,55
AMZN,2018-10-01,0.191797872,12,2,33
AMZN,2018-11-01,0.195264894,34,11,49
AMZN,2018-12-01,0.229796774,40,8,45
AMZN,2019-01-01,0.213946809,14,3,30
AMZN,2019-02-01,0.126031959,25,10,62
AMZN,2019-03-01,0.096819388,26,17,55
AMZN,2019-04-01,0.211488732,23,5,43
AMZN,2019-05-01,0.140190722,27,11,59
AMZN,2019-06-01,0.176966667,30,10,56
AMZN,2019-07-01,0.156402105,22,8,65
AMZN,2019-08-01,0.1193,9,5,34
AMZN,2019-09-01,0.209150562,30,5,54
AMZN,2019-10-01,0.129169355,43,24,119
AMZN,2019-11-01,0.150865957,33,18,43
AMZN,2019-12-01,0.100865957,22,19,53
AMZN,2020-01-01,0.107036458,25,14,57
AMZN,2020-02-01,0.234079592,39,8,51
AMZN,2020-03-01,0.158162766,33,18,43
AMZN,2020-04-01,0.14588617,25,13,56
AMZN,2020-05-01,0.144717273,28,15,67
AMZN,2020-06-01,0.192710204,35,9,54
AMZN,2020-07-01,0.177922222,28,9,62
AMZN,2020-08-01,0.138162626,28,15,56
AMZN,2020-09-01,0.1578,30,11,57
AAPL,2017-09-01,0.022282,16,13,21
AAPL,2017-10-01,0.0710375,14,5,29
AAPL,2017-11-01,0.137542308,15,2,35
AAPL,2017-12-01,0.090202041,14,6,29
AAPL,2018-01-01,0.076540426,12,4,31
AAPL,2018-02-01,0.035740816,9,7,33
AAPL,2018-03-01,-0.002159184,9,8,32
AAPL,2018-04-01,-0.011602083,10,11,27
AAPL,2018-05-01,0.095020408,14,6,29
AAPL,2018-06-01,0.06881875,13,7,28
AAPL,2018-07-01,0.05330625,11,5,32
AAPL,2018-08-01,-0.006528,10,10,30
AAPL,2018-09-01,-0.003777551,10,8,31
AAPL,2018-10-01,0.024126531,10,6,33
AAPL,2018-11-01,0.047606,11,10,29
AAPL,2018-12-01,0.005147917,10,9,29
AAPL,2019-01-01,0.026502083,11,9,28
AAPL,2019-02-01,0.004857143,9,8,32
AAPL,2019-03-01,0.113295918,17,3,29
AAPL,2019-04-01,0.040145833,12,9,27
AAPL,2019-05-01,0.016844,11,11,28
AAPL,2019-06-01,0.035079592,12,9,28
AAPL,2019-07-01,0.000304167,7,8,33
AAPL,2019-08-01,0.024959184,14,12,23
AAPL,2019-09-01,0.018346939,10,9,30
AAPL,2019-10-01,-0.004328571,9,13,27
AAPL,2019-11-01,-0.001852,8,8,34
AAPL,2019-12-01,0.09754375,15,8,25
AAPL,2020-01-01,-0.042467347,5,9,35
AAPL,2020-02-01,-0.067252,4,9,37
AAPL,2020-03-01,0.028352083,10,8,30
AAPL,2020-04-01,0.0574,10,4,35
AAPL,2020-05-01,-0.018056,6,7,37
AAPL,2020-06-01,0.05662449,10,6,33
AAPL,2020-07-01,0.0619125,9,5,34
AAPL,2020-08-01,0.01798,8,7,35
AAPL,2020-09-01,0.044434,12,7,31
BRK,2017-09-01,0.0091625,8,7,33
BRK,2017-10-01,0.049492857,11,6,25
BRK,2017-11-01,0.135521739,19,4,23
BRK,2017-12-01,0.166727907,18,2,23
BRK,2018-01-01,0.25925,21,2,19
BRK,2018-02-01,0.089266667,13,6,29
BRK,2018-03-01,0.087767391,12,5,29
BRK,2018-04-01,0.129487234,13,0,34
BRK,2018-05-01,0.048784444,10,7,28
BRK,2018-06-01,0.117328889,12,2,31
BRK,2018-07-01,0.142358537,16,2,23
BRK,2018-08-01,0.039853191,12,4,31
BRK,2018-09-01,0.049262222,13,5,27
BRK,2018-10-01,0.090004255,11,2,34
BRK,2018-11-01,0.066697872,12,3,32
BRK,2018-12-01,0.122256522,17,4,25
BRK,2019-01-01,-0.001406522,7,8,31
BRK,2019-02-01,0.057377778,9,6,30
BRK,2019-03-01,0.132590909,12,4,28
BRK,2019-04-01,0.030472727,8,3,33
BRK,2019-05-01,0.072876596,11,5,31
BRK,2019-06-01,0.102570213,14,5,28
BRK,2019-07-01,0.107319149,15,4,28
BRK,2019-08-01,0.077541667,13,5,30
BRK,2019-09-01,0.14308,18,3,29
BRK,2019-10-01,0.025121277,6,5,36
BRK,2019-11-01,-0.028351064,4,8,35
BRK,2019-12-01,0.100543478,14,2,30
BRK,2020-01-01,0.000972727,13,9,22
BRK,2020-02-01,0.158924242,14,2,17
BRK,2020-03-01,-0.006791667,6,7,35
BRK,2020-04-01,0.05595625,10,7,31
BRK,2020-05-01,0.048531111,8,8,29
BRK,2020-06-01,0.019767391,12,12,22
BRK,2020-07-01,0.074648889,13,6,26
BRK,2020-08-01,0.079928261,16,7,23
BRK,2020-09-01,0.115158696,12,2,32
FB,2017-09-01,-0.053462,13,16,21
FB,2017-10-01,-0.06859375,6,14,28
FB,2017-11-01,-0.054464865,9,11,17
FB,2017-12-01,-0.069302,12,17,21
FB,2018-01-01,0.0089,12,11,27
FB,2018-02-01,-0.162889583,5,22,21
FB,2018-03-01,-0.073473469,8,16,25
FB,2018-04-01,-0.07345,9,14,27
FB,2018-05-01,-0.019868085,9,10,28
FB,2018-06-01,0.025373684,14,8,35
FB,2018-07-01,-0.107404167,7,17,24
FB,2018-08-01,-0.10319,7,15,28
FB,2018-09-01,-0.040061702,8,10,29
FB,2018-10-01,-0.052136,13,13,24
FB,2018-11-01,-0.198082,4,23,23
FB,2018-12-01,-0.008933333,15,18,15
FB,2019-01-01,-0.055126531,12,17,20
FB,2019-02-01,-0.122516327,5,16,28
FB,2019-03-01,-0.098910204,9,16,24
FB,2019-04-01,-0.056808511,9,11,27
FB,2019-05-01,-0.124267347,6,17,26
FB,2019-06-01,-0.126548,10,18,22
FB,2019-07-01,-0.054108,14,15,21
FB,2019-08-01,-0.090793878,3,12,34
FB,2019-09-01,-0.01533,16,13,21
FB,2019-10-01,-0.051716667,8,12,28
FB,2019-11-01,-0.156988,5,19,26
FB,2019-12-01,-0.0675625,9,15,24
FB,2020-01-01,-0.117747917,9,20,19
FB,2020-02-01,-0.101935714,5,17,20
FB,2020-03-01,-0.049559184,10,16,23
FB,2020-04-01,0.028292,10,6,34
FB,2020-05-01,0.068325926,14,8,32
FB,2020-06-01,-0.08246,10,16,24
FB,2020-07-01,-0.071946,7,11,32
FB,2020-08-01,-0.218610204,5,24,20
FB,2020-09-01,-0.17584375,5,22,21
JNJ,2017-09-01,0.046118182,12,7,25
JNJ,2017-10-01,0.027343478,12,10,24
JNJ,2017-11-01,0.061823256,14,7,22
JNJ,2017-12-01,0.120502273,15,9,20
JNJ,2018-01-01,0.0239,7,6,33
JNJ,2018-02-01,0.037321622,11,8,18
JNJ,2018-03-01,0.039763415,9,8,24
JNJ,2018-04-01,-0.048787234,9,13,25
JNJ,2018-05-01,-0.0132875,7,6,27
JNJ,2018-06-01,0.048282222,14,5,26
JNJ,2018-07-01,0.004810638,11,10,26
JNJ,2018-08-01,0.009273913,13,12,21
JNJ,2018-09-01,-0.0825,7,14,22
JNJ,2018-10-01,-0.057737838,8,9,20
JNJ,2018-11-01,-0.018668182,10,10,24
JNJ,2018-12-01,0.003783333,9,12,27
JNJ,2019-01-01,0.089765909,14,4,26
JNJ,2019-02-01,-0.022074419,7,8,28
JNJ,2019-03-01,-0.066858974,8,13,18
JNJ,2019-04-01,-0.017755556,16,16,13
JNJ,2019-05-01,-0.088186667,8,15,22
JNJ,2019-06-01,-0.003578261,11,14,21
JNJ,2019-07-01,-0.057759184,8,11,30
JNJ,2019-08-01,-0.094372917,7,16,25
JNJ,2019-09-01,0.010583333,11,10,27
JNJ,2019-10-01,0.01874,11,9,25
JNJ,2019-11-01,0.034376596,12,11,24
JNJ,2019-12-01,-0.005452273,8,11,25
JNJ,2020-01-01,0.024168182,10,6,28
JNJ,2020-02-01,-0.00417381,11,11,20
JNJ,2020-03-01,-0.029976744,8,11,24
JNJ,2020-04-01,0.118679167,17,5,26
JNJ,2020-05-01,-0.003723404,9,9,29
JNJ,2020-06-01,0.055134884,12,8,23
JNJ,2020-07-01,0.054687179,11,6,22
JNJ,2020-08-01,0.04222,11,8,26
JNJ,2020-09-01,-0.032133333,11,12,25
MRK,2017-09-01,-0.06662093,6,11,26
MRK,2017-10-01,0.105539535,16,9,18
MRK,2017-11-01,0.020682051,11,8,20
MRK,2017-12-01,0.099758824,11,5,18
MRK,2018-01-01,0.0309375,7,4,21
MRK,2018-02-01,-0.011808108,8,6,23
MRK,2018-03-01,0.031435294,11,7,16
MRK,2018-04-01,-0.118388372,6,15,22
MRK,2018-05-01,-0.0031425,11,8,21
MRK,2018-06-01,-0.014535,12,11,17
MRK,2018-07-01,0.025756757,8,5,24
MRK,2018-08-01,0.0967675,14,4,22
MRK,2018-09-01,0.0913,16,5,20
MRK,2018-10-01,-0.002448649,6,8,23
MRK,2018-11-01,-0.06467907,9,13,21
MRK,2018-12-01,0.109215789,14,3,21
MRK,2019-01-01,-0.001202778,10,9,17
MRK,2019-02-01,-0.000126316,13,10,15
MRK,2019-03-01,0.037302857,11,6,18
MRK,2019-04-01,0.081933333,10,5,18
MRK,2019-05-01,-0.041356098,11,11,19
MRK,2019-06-01,0.0696525,14,8,18
MRK,2019-07-01,0.058381579,11,8,19
MRK,2019-08-01,-0.028975,8,9,27
MRK,2019-09-01,0.020891667,8,6,22
MRK,2019-10-01,0.100042105,12,5,21
MRK,2019-11-01,0.054502703,11,6,20
MRK,2019-12-01,0.022176471,14,10,10
MRK,2020-01-01,0.022194444,14,8,14
MRK,2020-02-01,0.032718182,9,6,29
MRK,2020-03-01,0.035102632,10,6,22
MRK,2020-04-01,-0.023617949,9,8,22
MRK,2020-05-01,0.027124,4,3,18
MRK,2020-06-01,0.07956,13,5,17
MRK,2020-07-01,0.032548571,8,6,21
MRK,2020-08-01,-0.001065789,9,8,21
MRK,2020-09-01,0.034137143,7,5,23
MSFT,2017-09-01,0.04657551,9,3,37
MSFT,2017-10-01,0.041336957,14,8,24
MSFT,2017-11-01,0.083144,14,5,31
MSFT,2017-12-01,-0.013485714,8,10,31
MSFT,2018-01-01,-0.036076,6,10,34
MSFT,2018-02-01,0.031714286,13,9,27
MSFT,2018-03-01,0.04681875,15,9,24
MSFT,2018-04-01,0.081536735,14,7,28
MSFT,2018-05-01,0.138083784,13,2,22
MSFT,2018-06-01,0.053934,12,6,32
MSFT,2018-07-01,0.12389375,13,3,32
MSFT,2018-08-01,0.04628125,12,6,30
MSFT,2018-09-01,0.073579167,13,4,31
MSFT,2018-10-01,0.01524375,10,8,30
MSFT,2018-11-01,0.132582,18,5,27
MSFT,2018-12-01,0.03273,9,7,34
MSFT,2019-01-01,0.177244,21,3,26
MSFT,2019-02-01,0.075746,10,3,37
MSFT,2019-03-01,0.066887755,12,4,33
MSFT,2019-04-01,-0.027228,7,9,34
MSFT,2019-05-01,0.069926,17,8,25
MSFT,2019-06-01,-0.002052,11,9,30
MSFT,2019-07-01,0.109086364,17,5,22
MSFT,2019-08-01,0.04715,11,7,32
MSFT,2019-09-01,0.062987234,12,7,28
MSFT,2019-10-01,0.098784,15,7,28
MSFT,2019-11-01,0.119177551,16,5,28
MSFT,2019-12-01,0.07887551,16,7,26
MSFT,2020-01-01,-0.03915,7,11,30
MSFT,2020-02-01,-0.049125,6,10,32
MSFT,2020-03-01,-0.002704082,6,6,37
MSFT,2020-04-01,0.104458333,16,5,27
MSFT,2020-05-01,0.079506522,13,6,27
MSFT,2020-06-01,0.045020833,11,9,28
MSFT,2020-07-01,0.062767391,9,6,31
MSFT,2020-08-01,0.0117,8,5,36
MSFT,2020-09-01,0.053408333,9,3,36
NKE,2017-09-01,0.031528889,7,4,34
NKE,2017-10-01,0.057993617,12,8,27
