Company,Date,mean,pos,neg,neu
AAPL,2017-09-01,-0.126361826,6,17,44
AAPL,2017-10-01,-0.055930356,11,14,31
AAPL,2017-11-01,-0.169682706,5,16,31
AAPL,2017-12-01,-0.270962562,5,19,20
AAPL,2018-01-01,-0.271193073,5,19,23
AAPL,2018-02-01,-0.12364862,4,9,27
AAPL,2018-03-01,-0.085646903,6,11,24
AAPL,2018-04-01,-0.303605717,3,21,22
AAPL,2018-05-01,-0.033077984,12,12,31
AAPL,2018-06-01,-0.10288508,5,9,21
AAPL,2018-07-01,-0.104455773,7,12,14
AAPL,2018-08-01,-0.121834475,8,15,26
AAPL,2018-09-01,-0.070362035,13,19,18
AAPL,2018-10-01,-0.115572236,11,19,22
AAPL,2018-11-01,-0.36109877,6,28,18
AAPL,2018-12-01,-0.423263638,2,28,18
AAPL,2019-01-01,-0.295608444,6,29,31
AAPL,2019-02-01,-0.15223032,2,12,32
AAPL,2019-03-01,-0.048076836,7,11,31
AAPL,2019-04-01,-0.190834782,5,14,25
AAPL,2019-05-01,-0.302952388,7,16,8
AAPL,2019-06-01,-0.232125025,2,12,25
AAPL,2019-07-01,-0.091763246,7,10,28
AAPL,2019-08-01,-0.245987516,2,15,26
AAPL,2019-09-01,-0.130013631,6,13,21
AAPL,2019-10-01,0.111698136,15,9,24
AAPL,2019-11-01,-0.0553769,6,10,28
AAPL,2019-12-01,0.002666141,11,14,20
AAPL,2020-01-01,0.052746694,18,13,31
AAPL,2020-02-01,-0.340791416,3,20,19
AAPL,2020-03-01,-0.256198025,8,21,16
AAPL,2020-04-01,-0.140346862,7,15,18
AAPL,2020-05-01,0.065783911,7,6,14
AAPL,2020-06-01,-0.195329492,9,21,20
AAPL,2020-07-01,-0.13938311,10,23,38
AAPL,2020-08-01,-0.185531752,7,24,28
AAPL,2020-09-01,-0.219146972,5,17,23
AMZN,2017-09-01,0.019923792,7,8,30
AMZN,2017-10-01,-0.134854174,4,16,41
AMZN,2017-11-01,-0.038710706,8,10,31
AMZN,2017-12-01,0.087051459,12,8,21
AMZN,2018-01-01,0.031011485,10,9,27
AMZN,2018-02-01,0.112383531,11,4,29
AMZN,2018-03-01,-0.17472084,3,17,38
AMZN,2018-04-01,-0.036643473,7,12,33
AMZN,2018-05-01,-0.076500386,8,14,30
AMZN,2018-06-01,-0.124111081,5,14,26
AMZN,2018-07-01,0.082174595,13,8,23
AMZN,2018-08-01,-0.025346371,7,8,26
AMZN,2018-09-01,0.03088984,10,7,40
AMZN,2018-10-01,-0.125089513,9,23,49
AMZN,2018-11-01,-0.024543302,14,21,41
AMZN,2018-12-01,-0.113087898,8,15,30
AMZN,2019-01-01,-0.063760155,7,10,38
AMZN,2019-02-01,-0.147250972,4,15,35
AMZN,2019-03-01,-0.086274632,5,9,20
AMZN,2019-04-01,-0.021564655,10,11,31
AMZN,2019-05-01,-0.039659507,3,7,30
AMZN,2019-06-01,-0.027677923,4,6,28
AMZN,2019-07-01,-0.102178178,6,13,31
AMZN,2019-08-01,-0.12229313,4,9,29
AMZN,2019-09-01,0.064703113,6,3,29
AMZN,2019-10-01,0.019854514,10,6,26
AMZN,2019-11-01,-0.115749896,7,11,17
AMZN,2019-12-01,-0.048597337,9,10,35
AMZN,2020-01-01,-0.137426374,5,13,33
AMZN,2020-02-01,0.046521863,3,1,21
AMZN,2020-03-01,-0.175493915,12,26,37
AMZN,2020-04-01,-0.268245904,7,24,31
AMZN,2020-05-01,-0.194785966,6,23,33
AMZN,2020-06-01,0.008311476,15,17,36
AMZN,2020-07-01,-0.136281752,13,20,37
AMZN,2020-08-01,0.066657438,16,12,30
AMZN,2020-09-01,0.060201241,14,10,35
BRK,2017-09-01,-0.521953958,1,9,3
BRK,2017-10-01,-0.272773716,0,1,2
BRK,2017-11-01,-0.194365598,1,3,2
BRK,2017-12-01,0.232016957,1,0,2
BRK,2018-01-01,0.069304172,1,1,2
BRK,2018-02-01,0.00265586,2,1,9
BRK,2018-03-01,0.022328708,2,2,2
BRK,2018-04-01,-0.46165527,0,1,2
BRK,2018-05-01,-0.027736442,1,2,6
BRK,2018-06-01,0.0119951,0,0,5
BRK,2018-07-01,0.021843511,1,1,5
BRK,2018-08-01,0.276818109,5,0,7
BRK,2018-09-01,-0.337730054,0,2,2
BRK,2018-10-01,-0.019563035,0,1,4
BRK,2018-11-01,0.00375778,2,2,7
BRK,2018-12-01,-0.120656892,0,1,3
BRK,2019-01-01,-0.44192723,0,2,2
BRK,2019-02-01,-0.08386125,2,3,11
BRK,2019-03-01,0.296217076,2,0,3
BRK,2019-04-01,0.120707486,3,2,5
BRK,2019-05-01,0.126045248,1,1,10
BRK,2019-06-01,-0.153782873,0,1,2
BRK,2019-07-01,0.07910679,1,2,1
BRK,2019-08-01,-0.71320263,0,2,1
BRK,2019-09-01,-0.535298665,0,1,1
BRK,2019-10-01,0.179617613,3,2,2
BRK,2019-11-01,-0.248999432,1,4,4
BRK,2019-12-01,0.023055173,0,0,3
BRK,2020-01-01,-0.14583966,1,2,4
BRK,2020-02-01,-0.150256132,0,1,5
BRK,2020-03-01,-0.194229625,1,4,6
BRK,2020-04-01,-0.170198624,1,3,8
BRK,2020-05-01,-0.02689279,3,4,9
BRK,2020-06-01,-0.246818088,0,2,1
BRK,2020-07-01,0.167759991,2,1,7
BRK,2020-08-01,0.049295672,1,1,8
BRK,2020-09-01,-0.168792545,0,3,7
FB,2017-09-01,-0.064922321,8,12,23
FB,2017-10-01,-0.13618865,3,8,19
FB,2017-11-01,-0.1242802,1,3,9
FB,2017-12-01,0.055738105,5,5,10
FB,2018-01-01,-0.124921111,7,10,20
FB,2018-02-01,-0.104539505,2,4,8
FB,2018-03-01,-0.36803716,3,27,26
FB,2018-04-01,-0.259734304,9,23,22
FB,2018-05-01,-0.236274647,0,8,25
FB,2018-06-01,-0.171040354,4,13,25
FB,2018-07-01,-0.097702241,9,13,14
FB,2018-08-01,-0.176499434,5,14,23
FB,2018-09-01,-0.171266948,7,15,17
FB,2018-10-01,-0.257593606,6,18,25
FB,2018-11-01,-0.359726134,3,23,13
FB,2018-12-01,-0.312959779,5,20,13
FB,2019-01-01,-0.226645283,6,12,16
FB,2019-02-01,-0.192711274,2,8,18
FB,2019-03-01,-0.338409609,2,14,15
FB,2019-04-01,-0.118203012,8,12,12
FB,2019-05-01,-0.419547475,1,13,12
FB,2019-06-01,-0.154122956,3,10,23
FB,2019-07-01,-0.090861467,5,6,23
FB,2019-08-01,-0.293527294,1,13,16
FB,2019-09-01,-0.130238137,3,6,23
FB,2019-10-01,-0.199093257,6,19,22
FB,2019-11-01,-0.222481307,1,7,16
FB,2019-12-01,-0.090104479,8,11,14
FB,2020-01-01,-0.001674607,9,7,12
FB,2020-02-01,-0.209945414,2,9,15
FB,2020-03-01,-0.2199123,2,11,19
FB,2020-04-01,-0.0926663,5,8,17
FB,2020-05-01,-0.207272691,3,15,23
FB,2020-06-01,-0.290006922,6,29,27
FB,2020-07-01,-0.175856287,12,26,25
FB,2020-08-01,-0.248639071,6,20,24
FB,2020-09-01,-0.279421781,5,18,20
GOOGL,2017-09-01,-0.112670943,3,12,38
GOOGL,2017-10-01,-0.043619238,5,7,26
GOOGL,2017-11-01,-0.375495728,0,11,16
GOOGL,2017-12-01,0.030488649,5,6,13
GOOGL,2018-01-01,0.000830747,7,7,23
GOOGL,2018-02-01,-0.051608213,3,6,36
GOOGL,2018-03-01,-0.13745269,4,11,31
GOOGL,2018-04-01,-0.197201139,2,11,18
GOOGL,2018-05-01,-0.00783168,5,7,29
GOOGL,2018-06-01,-0.046020186,5,8,25
GOOGL,2018-07-01,-0.103072601,5,12,29
GOOGL,2018-08-01,-0.104560642,10,16,31
GOOGL,2018-09-01,-0.069266279,11,15,23
GOOGL,2018-10-01,-0.176694803,8,20,34
GOOGL,2018-11-01,-0.240874166,3,20,26
GOOGL,2018-12-01,-0.035393094,7,7,21
GOOGL,2019-01-01,-0.17696675,3,11,26
GOOGL,2019-02-01,-0.107390481,3,10,32
GOOGL,2019-03-01,-0.185755603,4,10,27
GOOGL,2019-04-01,-0.044709013,6,7,19
GOOGL,2019-05-01,-0.212734599,0,10,27
GOOGL,2019-06-01,-0.15978238,5,12,23
GOOGL,2019-07-01,-0.202931024,1,10,23
GOOGL,2019-08-01,-0.29918142,3,16,19
GOOGL,2019-09-01,-0.144928531,4,6,22
GOOGL,2019-10-01,-0.080135584,4,6,21
GOOGL,2019-11-01,-0.196577425,2,11,24
GOOGL,2019-12-01,-0.166630924,4,14,21
GOOGL,2020-01-01,-0.007940578,8,5,29
GOOGL,2020-02-01,-0.199192298,5,13,24
GOOGL,2020-03-01,-0.235581525,6,14,14
GOOGL,2020-04-01,-0.22066141,7,13,18
GOOGL,2020-05-01,-0.175091832,4,14,19
GOOGL,2020-06-01,0.100968209,10,7,20
GOOGL,2020-07-01,-0.000707108,12,10,23
GOOGL,2020-08-01,-0.144671168,5,14,19
GOOGL,2020-09-01,-0.14787861,6,13,17
JNJ,2017-09-01,-0.276021465,3,6,6
JNJ,2017-10-01,0.116403145,10,3,15
JNJ,2017-11-01,0.173586873,6,3,6
JNJ,2017-12-01,0.395135075,5,2,1
JNJ,2018-01-01,-0.116651322,3,7,11
JNJ,2018-02-01,-0.103306008,2,3,6
JNJ,2018-03-01,-0.135300608,4,6,8
JNJ,2018-04-01,0.000315355,8,7,10
JNJ,2018-05-01,-0.065887964,4,3,12
JNJ,2018-06-01,-0.049086035,1,1,9
JNJ,2018-07-01,-0.061737268,5,10,16
JNJ,2018-08-01,-0.013412153,6,7,14
JNJ,2018-09-01,0.129893098,7,3,10
JNJ,2018-10-01,0.141689516,11,5,11
JNJ,2018-11-01,-0.232137637,1,2,3
JNJ,2018-12-01,-0.129038384,6,10,10
JNJ,2019-01-01,0.018514301,8,8,21
JNJ,2019-02-01,0.038905332,5,3,14
JNJ,2019-03-01,0.012934625,4,3,18
JNJ,2019-04-01,0.009726642,6,6,10
JNJ,2019-05-01,-0.120220346,5,7,8
JNJ,2019-06-01,-0.053905212,1,2,8
JNJ,2019-07-01,0.072373689,7,3,14
JNJ,2019-08-01,0.026832087,5,3,8
JNJ,2019-09-01,0.015437879,3,3,9
JNJ,2019-10-01,-0.020860014,11,11,18
JNJ,2019-11-01,-0.132619429,3,5,4
JNJ,2019-12-01,0.004616762,5,6,10
JNJ,2020-01-01,0.095504479,7,5,15
JNJ,2020-02-01,-0.068379686,3,5,4
JNJ,2020-03-01,-0.023972793,5,5,10
JNJ,2020-04-01,0.111232886,8,4,14
JNJ,2020-05-01,0.116694298,3,1,7
JNJ,2020-06-01,0.012934603,6,7,11
JNJ,2020-07-01,0.145142292,9,3,12
JNJ,2020-08-01,0.198218744,9,2,12
JNJ,2020-09-01,0.039174012,9,8,15
MRK,2017-09-01,-0.13283412,1,2,5
MRK,2017-10-01,-0.22351161,4,10,8
MRK,2017-11-01,0.055969629,5,4,5
MRK,2017-12-01,-0.092688076,2,4,3
MRK,2018-01-01,0.007371169,6,7,10
MRK,2018-02-01,0.155876725,4,2,6
MRK,2018-03-01,0.312241448,5,1,4
MRK,2018-04-01,0.157191908,7,4,5
MRK,2018-05-01,0.077000306,9,6,9
MRK,2018-06-01,-0.327234069,1,5,6
MRK,2018-07-01,0.057594853,7,9,18
MRK,2018-08-01,0.05937987,6,3,13
MRK,2018-09-01,0.057903147,3,3,12
MRK,2018-10-01,0.107252413,13,7,10
MRK,2018-11-01,0.246007787,8,3,4
MRK,2018-12-01,0.190087136,9,3,6
MRK,2019-01-01,0.098252472,8,5,13
MRK,2019-02-01,0.455861191,16,1,8
MRK,2019-03-01,0.154093971,5,3,7
MRK,2019-04-01,0.273742023,9,3,9
MRK,2019-05-01,0.217617334,7,2,7
MRK,2019-06-01,0.022537321,4,3,10
MRK,2019-07-01,-0.014363635,6,6,13
MRK,2019-08-01,0.104037156,2,2,4
MRK,2019-09-01,0.133565035,2,2,6
MRK,2019-10-01,0.025121198,5,5,6
MRK,2019-11-01,-0.034887592,2,3,7
MRK,2019-12-01,0.112035941,7,3,11
MRK,2020-01-01,0.006439609,4,4,7
MRK,2020-02-01,-0.1910499,1,4,7
MRK,2020-03-01,0.159957863,4,2,6
MRK,2020-04-01,0.202412394,5,2,11
MRK,2020-05-01,0.247371119,5,1,8
MRK,2020-06-01,0.07702314,2,2,16
MRK,2020-07-01,0.153327807,6,2,11
MRK,2020-08-01,-0.05418437,4,6,6
MRK,2020-09-01,0.171268789,9,4,14
MSFT,2017-09-01,0.081588597,5,3,22
MSFT,2017-10-01,0.014539771,5,5,25
MSFT,2017-11-01,-0.178227385,2,6,7
MSFT,2017-12-01,0.071896885,3,4,9
MSFT,2018-01-01,0.081752092,8,3,10
MSFT,2018-02-01,0.090340108,5,2,12
MSFT,2018-03-01,0.21806632,8,4,10
MSFT,2018-04-01,-0.004856955,6,7,12
MSFT,2018-05-01,-0.00088419,5,4,12
MSFT,2018-06-01,0.049028358,5,7,15
MSFT,2018-07-01,0.116468659,8,4,9
MSFT,2018-08-01,-0.039617171,5,6,18
MSFT,2018-09-01,-0.006831422,2,3,13
MSFT,2018-10-01,0.184257953,13,4,17
MSFT,2018-11-01,0.138065178,7,3,14
MSFT,2018-12-01,-0.352977915,1,6,4
MSFT,2019-01-01,-0.100812511,4,6,13
MSFT,2019-02-01,-0.058604766,2,5,11
MSFT,2019-03-01,-0.036810733,2,3,13
MSFT,2019-04-01,-0.155878558,6,8,12
MSFT,2019-05-01,-0.029927301,1,3,11
MSFT,2019-06-01,-0.209300074,2,5,8
MSFT,2019-07-01,0.004251304,4,5,13
MSFT,2019-08-01,0.011187604,3,2,13
MSFT,2019-09-01,-0.101832918,2,3,13
MSFT,2019-10-01,-0.051635949,4,5,22
MSFT,2019-11-01,-0.031398391,4,4,10
MSFT,2019-12-01,-0.09880273,5,7,8
MSFT,2020-01-01,-0.050961733,8,8,18
MSFT,2020-02-01,-0.164633758,3,7,10
MSFT,2020-03-01,-0.095663713,7,11,19
MSFT,2020-04-01,0.0487514,8,7,18
MSFT,2020-05-01,-0.005355157,3,4,16
MSFT,2020-06-01,-0.052525653,6,10,12
MSFT,2020-07-01,-0.140188882,7,16,20
MSFT,2020-08-01,-0.046007681,8,15,38
MSFT,2020-09-01,0.008019019,9,8,33
NKE,2017-09-01,0.031948488,3,1,5
NKE,2017-10-01,-0.196062253,0,3,6
NKE,2017-11-01,-0.196459182,1,2,2
NKE,2017-12-01,0.136421061,4,2,1
NKE,2018-01-01,0.367063524,2,0,3
NKE,2018-02-01,-0.165535071,0,1,2
NKE,2018-03-01,0.111067009,6,3,3
NKE,2018-04-01,-0.263564377,0,3,6
NKE,2018-05-01,-0.08654487,2,4,3
NKE,2018-06-01,0.005151816,2,1,3
NKE,2018-07-01,-0.120999281,3,3,3
NKE,2018-08-01,-0.171520361,3,5,0
NKE,2018-09-01,0.125024615,5,3,7
NKE,2018-10-01,-0.089568083,3,3,5
NKE,2018-11-01,0.18643935,3,1,2
NKE,2018-12-01,-0.128797039,3,4,6
NKE,2019-01-01,0.137302481,3,1,5
NKE,2019-02-01,-0.234944186,1,3,3
NKE,2019-03-01,-0.096659156,3,3,3
NKE,2019-04-01,0.132546925,3,1,2
NKE,2019-05-01,-0.458637646,0,6,3
NKE,2019-06-01,-0.479773784,0,4,3
NKE,2019-07-01,-0.216383318,1,3,4
NKE,2019-08-01,-0.312936025,2,8,5
NKE,2019-09-01,0.14884244,1,1,2
NKE,2019-10-01,-0.397596604,0,8,10
NKE,2019-11-01,0.079630967,2,2,2
NKE,2019-12-01,-0.259392262,0,3,7
NKE,2020-01-01,-0.297437421,1,3,3
NKE,2020-02-01,-0.427894615,0,8,6
NKE,2020-03-01,-0.397858046,4,15,7
NKE,2020-04-01,-0.075934416,3,3,9
NKE,2020-05-01,0.060130772,1,1,3
NKE,2020-06-01,-0.133081475,3,4,6
NKE,2020-07-01,0.0958592,3,2,5
NKE,2020-08-01,-0.047815306,3,4,9
NKE,2020-09-01,0.195570978,6,2,6
NVDA,2017-09-01,0.142069552,3,1,12
NVDA,2017-10-01,0.149443704,3,1,6
NVDA,2017-11-01,0.237067936,5,1,7
NVDA,2017-12-01,-0.128102522,1,2,4
NVDA,2018-01-01,0.261934086,3,0,8
NVDA,2018-02-01,-0.14556069,2,4,3
NVDA,2018-03-01,-0.204003675,2,5,5
NVDA,2018-04-01,-0.505537716,1,13,5
NVDA,2018-05-01,0.123907266,4,2,7
NVDA,2018-06-01,-0.225075819,2,7,4
NVDA,2018-07-01,-0.30340091,1,5,3
NVDA,2018-08-01,-0.071193412,4,6,7
NVDA,2018-09-01,-0.060597716,4,5,6
NVDA,2018-10-01,-0.166869623,2,7,11
NVDA,2018-11-01,-0.196924717,5,8,2
NVDA,2018-12-01,-0.445263685,0,6,5
NVDA,2019-01-01,-0.574007917,1,9,3
NVDA,2019-02-01,-0.38718725,3,8,3
NVDA,2019-03-01,0.032738574,2,2,6
NVDA,2019-04-01,-0.368873966,1,5,5
NVDA,2019-05-01,-0.091062845,5,5,3
NVDA,2019-06-01,-0.165870191,1,2,4
NVDA,2019-07-01,-0.255248588,2,7,1
NVDA,2019-08-01,-0.187013379,2,5,6
NVDA,2019-09-01,0.003850693,1,1,1
NVDA,2019-10-01,0.015244565,6,4,3
NVDA,2019-11-01,0.01862525,4,3,8
NVDA,2019-12-01,0.175898815,4,2,2
NVDA,2020-01-01,0.191683076,4,1,3
NVDA,2020-02-01,-0.208030191,5,9,5
NVDA,2020-03-01,-0.144644259,1,3,7
NVDA,2020-04-01,-0.219228031,2,4,3
NVDA,2020-05-01,0.225468982,8,4,7
NVDA,2020-06-01,-0.087122298,3,6,4
NVDA,2020-07-01,0.18166268,5,2,4
NVDA,2020-08-01,-0.061006856,7,5,4
NVDA,2020-09-01,0.020898819,4,2,11
PFE,2017-09-01,-0.171916275,3,5,7
PFE,2017-10-01,0.018060805,6,4,7
PFE,2017-11-01,0.202691209,5,2,7
PFE,2017-12-01,0.288350752,6,2,9
PFE,2018-01-01,-0.086473741,6,8,10
PFE,2018-02-01,-0.293891663,2,6,2
PFE,2018-03-01,-0.035322943,6,5,11
PFE,2018-04-01,-0.142168757,4,9,12
PFE,2018-05-01,0.052700729,7,5,10
PFE,2018-06-01,0.250602603,7,2,5
PFE,2018-07-01,0.054105171,8,8,16
PFE,2018-08-01,0.122949704,10,5,9
PFE,2018-09-01,0.124193952,6,3,10
PFE,2018-10-01,0.031085593,6,6,14
PFE,2018-11-01,0.110179818,9,5,10
PFE,2018-12-01,-0.150837322,1,5,10
PFE,2019-01-01,-0.068270264,6,7,12
PFE,2019-02-01,0.300323534,12,3,4
PFE,2019-03-01,0.059996941,2,1,11
PFE,2019-04-01,-0.051768358,6,7,5
PFE,2019-05-01,0.117116802,5,2,8
PFE,2019-06-01,-0.126700884,4,7,6
PFE,2019-07-01,0.096017444,7,3,19
PFE,2019-08-01,0.254062226,5,2,4
PFE,2019-09-01,0.183208304,5,4,1
PFE,2019-10-01,0.216604311,4,1,6
PFE,2019-11-01,-0.101638369,2,5,5
PFE,2019-12-01,0.085331289,6,4,8
PFE,2020-01-01,0.007720233,4,4,16
PFE,2020-02-01,0.144379905,3,2,1
PFE,2020-03-01,0.00957797,5,6,10
PFE,2020-04-01,0.170636697,6,3,13
PFE,2020-05-01,0.071857178,5,4,14
PFE,2020-06-01,0.125244607,10,5,9
PFE,2020-07-01,0.138857932,8,4,18
PFE,2020-08-01,0.086421198,8,6,13
PFE,2020-09-01,0.16500836,15,9,23
PG,2017-09-01,-0.256147362,0,4,10
PG,2017-10-01,-0.295278269,1,5,7
PG,2017-11-01,-0.204265173,0,2,6
PG,2017-12-01,-0.148996204,0,2,4
PG,2018-01-01,-0.072687404,1,1,6
PG,2018-02-01,-0.027894629,1,1,2
PG,2018-03-01,-0.249225237,0,1,3
PG,2018-04-01,-0.355372906,0,5,7
PG,2018-05-01,0.300189931,1,0,2
PG,2018-06-01,-0.002124058,1,1,1
PG,2018-07-01,-0.311282674,1,4,5
PG,2018-08-01,-0.244901919,1,3,2
PG,2018-09-01,-0.504410644,0,4,1
PG,2018-10-01,0.015246065,2,3,5
PG,2018-11-01,-0.080353006,1,2,2
PG,2018-12-01,-0.328217205,0,4,4
PG,2019-01-01,-0.186081333,2,4,6
PG,2019-02-01,-0.003454074,0,0,1
PG,2019-03-01,-0.29989976,0,0,1
PG,2019-04-01,-0.056866742,1,2,5
PG,2019-05-01,0.192297675,1,0,2
PG,2019-06-01,-0.067355485,1,1,0
PG,2019-07-01,-0.053599437,1,1,5
PG,2019-08-01,0.135490625,1,0,3
PG,2019-09-01,0,0,0,0
PG,2019-10-01,-0.050796577,0,0,4
PG,2019-11-01,0.236900167,1,0,2
PG,2019-12-01,-0.69743453,0,2,0
PG,2020-01-01,-0.122271624,0,1,6
PG,2020-02-01,-0.63294858,0,2,1
PG,2020-03-01,-0.305130589,3,7,5
PG,2020-04-01,0.106893756,3,1,5
PG,2020-05-01,-0.78085685,0,1,0
PG,2020-06-01,-0.355242143,0,3,3
PG,2020-07-01,0.283617636,3,0,4
PG,2020-08-01,-0.431611617,1,2,0
PG,2020-09-01,0,0,0,0
TSLA,2017-09-01,-0.018506727,5,9,21
TSLA,2017-10-01,-0.127642538,4,9,18
TSLA,2017-11-01,-0.381254145,0,15,14
TSLA,2017-12-01,-0.053142192,4,4,13
